idx,key,family,family_label,status,phrase,relation,anchor_area,support_area,support_mask,anchor_mask,error
0,fe_000_bear_1_black_bear,F4,T4_local_recolor,ok,bear,inside,0.253769,0.277771,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_000_bear_1_black_bear_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_000_bear_1_black_bear_anchor.png,
1,fe_003_bear_4_sculpture,F5,T5_same_color_material,ok,bear,inside,0.253769,0.269733,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_003_bear_4_sculpture_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_003_bear_4_sculpture_anchor.png,
2,fe_004_bear_grass_1_black_bear,F4,T4_local_recolor,ok,bear,inside,0.095417,0.108814,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_004_bear_grass_1_black_bear_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_004_bear_grass_1_black_bear_anchor.png,
3,fe_007_bear_grass_4_sculpture,F5,T5_same_color_material,ok,bear,inside,0.095417,0.104439,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_007_bear_grass_4_sculpture_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_007_bear_grass_4_sculpture_anchor.png,
4,fe_010_beer_glass_1_cocktail,F2,T2_container_insertion,ok,glass,inside,0.317429,0.338306,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_010_beer_glass_1_cocktail_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_010_beer_glass_1_cocktail_anchor.png,
5,fe_015_bikes_5_green_bicycle,F4,T4_local_recolor,ok,bicycle,inside,0.043690,0.054943,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_015_bikes_5_green_bicycle_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_015_bikes_5_green_bicycle_anchor.png,
6,fe_016_bikes_6_yellow_bicycle,F4,T4_local_recolor,ok,bicycle,inside,0.043690,0.054943,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_016_bikes_6_yellow_bicycle_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_016_bikes_6_yellow_bicycle_anchor.png,
7,fe_017_boat_silhouette_1_sailboat_white_sails_red_hull,F4,T4_local_recolor,ok,sailboat,inside,0.049484,0.060032,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_017_boat_silhouette_1_sailboat_white_sails_red_hull_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_017_boat_silhouette_1_sailboat_white_sails_red_hull_anchor.png,
8,fe_019_brown_owl_1_white_owl,F4,T4_local_recolor,ok,owl,inside,0.190716,0.208408,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_019_brown_owl_1_white_owl_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_019_brown_owl_1_white_owl_anchor.png,
9,fe_020_brown_owl_2_glass_sculpture,F5,T5_same_color_material,ok,owl,inside,0.190716,0.202805,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_020_brown_owl_2_glass_sculpture_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_all/fe_020_brown_owl_2_glass_sculpture_anchor.png,
