idx,key,family,family_label,status,phrase,relation,anchor_area,support_area,support_mask,anchor_mask,error
0,fe_038_cat_and_dog_1_lego,F5,T5_same_color_material,ok,dog and cat,inside,0.308273,0.326157,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_038_cat_and_dog_1_lego_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_038_cat_and_dog_1_lego_anchor.png,
1,fe_039_cat_and_dog_2_bronze,F5,T5_same_color_material,ok,dog and cat,inside,0.308273,0.326157,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_039_cat_and_dog_2_bronze_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_039_cat_and_dog_2_bronze_anchor.png,
2,fe_192_parrots_1_top_hat,F1,T1_attached_accessory,ok,parrots,top_center,0.121880,0.084930,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_192_parrots_1_top_hat_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_192_parrots_1_top_hat_anchor.png,
3,fe_193_parrots_2_origami,F5,T5_same_color_material,ok,parrots,inside,0.121880,0.134785,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_193_parrots_2_origami_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_193_parrots_2_origami_anchor.png,
4,fe_194_parrots_3_sculpture,F5,T5_same_color_material,ok,parrots,inside,0.121880,0.134785,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_194_parrots_3_sculpture_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_194_parrots_3_sculpture_anchor.png,
5,fe_195_parrots2_1_crown,F1,T1_attached_accessory,ok,parrots,top_center,0.083813,0.092487,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_195_parrots2_1_crown_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_195_parrots2_1_crown_anchor.png,
6,fe_196_penguins_1_origami,F5,T5_same_color_material,ok,penguins,inside,0.273296,0.300625,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_196_penguins_1_origami_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_196_penguins_1_origami_anchor.png,
7,fe_197_penguins_2_sculpture,F5,T5_same_color_material,ok,penguins,inside,0.273296,0.300625,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_197_penguins_2_sculpture_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_197_penguins_2_sculpture_anchor.png,
8,fe_221_rocks_6_colorful_wooden_blocks,F5,T5_same_color_material,ok,rocks,inside,0.503479,0.548401,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_221_rocks_6_colorful_wooden_blocks_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_221_rocks_6_colorful_wooden_blocks_anchor.png,
9,fe_036_cake_red_blueberries_2_raspberries,F2,T2_container_insertion,ok,blueberries,inside,0.102299,0.117573,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_036_cake_red_blueberries_2_raspberries_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/sam_support_masks_plural_v2/fe_036_cake_red_blueberries_2_raspberries_anchor.png,
