idx,key,family,family_label,status,phrase,relation,anchor_area,support_area,support_mask,anchor_mask,error
0,fe_172_meditation1_1_sand_sculpture,F5,T5_same_color_material,ok,man,inside,0.317184,0.333736,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_172_meditation1_1_sand_sculpture_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_172_meditation1_1_sand_sculpture_anchor.png,
1,fe_173_meditation1_2_golden_buddha_statue,F5,T5_same_color_material,ok,man,inside,0.317184,0.333736,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_173_meditation1_2_golden_buddha_statue_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_173_meditation1_2_golden_buddha_statue_anchor.png,
2,fe_174_meditation1_3_wooden_buddha_statue,F5,T5_same_color_material,ok,man,inside,0.317184,0.333736,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_174_meditation1_3_wooden_buddha_statue_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_174_meditation1_3_wooden_buddha_statue_anchor.png,
3,fe_175_meditation1_4_golden_statue,F5,T5_same_color_material,ok,man,inside,0.317184,0.333736,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_175_meditation1_4_golden_statue_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_175_meditation1_4_golden_statue_anchor.png,
4,fe_176_meditation1_5_wooden_statue,F5,T5_same_color_material,ok,man,inside,0.317184,0.333736,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_176_meditation1_5_wooden_statue_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_176_meditation1_5_wooden_statue_anchor.png,
5,fe_090_dog_2_puppet,F5,T5_same_color_material,ok,dog,inside,0.137424,0.146236,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_090_dog_2_puppet_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_090_dog_2_puppet_anchor.png,
6,fe_091_dog_3_crochet,F5,T5_same_color_material,ok,dog,inside,0.137424,0.146236,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_091_dog_3_crochet_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_091_dog_3_crochet_anchor.png,
7,fe_138_horse_2_pink_toy_horse,F5,T5_same_color_material,ok,horse,inside,0.193840,0.214375,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_138_horse_2_pink_toy_horse_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_138_horse_2_pink_toy_horse_anchor.png,
8,fe_211_puppies_3_puppets,F5,T5_same_color_material,ok,puppies,inside,0.141731,0.351845,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_211_puppies_3_puppets_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_211_puppies_3_puppets_anchor.png,manual_protocol_fix
9,fe_252_tiger_2_crochet_tiger,F5,T5_same_color_material,ok,tiger,inside,0.313248,0.324829,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_252_tiger_2_crochet_tiger_support.png,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/sam_support_masks_17new/fe_252_tiger_2_crochet_tiger_anchor.png,
