family_label,method,method_display,n,complete_n,fixed_mask_n,local_clip_t_n,clip_t,clip_target_minus_source,clip_direction_similarity,local_clip_t,local_clip_t_full_prompt,local_clip_target_minus_source,clip_image_source_similarity,dino_source_similarity,bg_dino_source,lpips_full,lpips_outside,bg_lpips,source_l1,inside_l1,outside_l1,bg_l1,source_ssim_luma,bg_ssim_luma,eval_mask_area,dilated_edit_mask_area,bg_mask_area
T1_attached_accessory,flux_maskedgap,flux_maskedgap,6,6,6,6,0.30776770412921906,0.044822136561075844,0.24368984500567117,0.24495392789443335,0.28265679876009625,0.04842152694861094,0.8104013502597809,0.6646941949923834,0.7711888402700424,0.511948381861051,0.4668414245049159,0.44638797144095105,0.13120629638433456,0.1471427877744039,0.12860585004091263,0.12818659717837969,0.5050901066856697,0.5184167871872584,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,flux_wofeedback,flux_wofeedback,6,6,6,6,0.31067899862925213,0.059298284351825714,0.2955345039566358,0.2594992940624555,0.29226813713709515,0.05716572701931,0.8290874063968658,0.5950754731893539,0.7547174096107483,0.24366327623526254,0.200455904006958,0.18147279073794684,0.061602333560585976,0.13120363652706146,0.052967691173156105,0.05091634268561999,0.7863721192823042,0.8226871291796366,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,flux_woopsupport,flux_woopsupport,6,6,6,6,0.3045913229386012,0.04002003371715546,0.24766451865434647,0.26493098090092343,0.2884564946095149,0.054435056944688164,0.8399931093056997,0.646193265914917,0.8373321195443472,0.173568827410539,0.12549924602111182,0.11196158453822136,0.04702791292220354,0.11823319643735886,0.03805124138792356,0.03597221523523331,0.8321493235353038,0.8720478514830271,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,flux_wopreserve,flux_wopreserve,6,6,6,6,0.30562669535477954,0.05312959849834442,0.22832781293739876,0.2583877195914586,0.2846551239490509,0.059916429221630096,0.8105728526910146,0.5873009314139684,0.7175730218489965,0.49583786725997925,0.44647233684857685,0.4260321259498596,0.13697794700662294,0.1815951739748319,0.13096567491690317,0.12994284306963286,0.5328661783310914,0.5535806566476822,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,full_flux,full_flux,6,6,6,6,0.2956682989994685,0.04243127008279165,0.32767422248919803,0.25223489105701447,0.274979164203008,0.05041849613189697,0.887391189734141,0.9660292565822601,0.9933853546778361,0.07886987303694089,0.06619540850321452,0.05978408766289552,0.02686343000580867,0.05479923666765293,0.024430515865484875,0.023115336584548157,0.9111362884469333,0.9220857818921407,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,full_sd3,full_sd3,6,6,6,6,0.30523308118184406,0.06023287524779638,0.3333529271185398,0.2565622354547183,0.2807803153991699,0.06347464273373286,0.8802237808704376,0.9346517324447632,0.9839616616566976,0.10939615840713184,0.09298667125403881,0.08403615529338519,0.03272692517687877,0.06597296272714932,0.029623476477960747,0.028047475032508373,0.8630723466953335,0.8785370290279388,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,sd3_maskedgap,sd3_maskedgap,6,6,6,6,0.27017837514479953,-0.004297216733296712,0.10567168006673455,0.2284502610564232,0.2489046702782313,-0.0019027615586916606,0.8745218614737192,0.7186180253823599,0.8433315058549246,0.35667117436726886,0.3049583186705907,0.2853456487258275,0.06846699429055055,0.11382497474551201,0.0629525197048982,0.06147966409722964,0.714300539087317,0.7329154014587402,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,sd3_wofeedback,sd3_wofeedback,6,6,6,6,0.2766139631470044,-0.013544589281082153,0.045317196287214756,0.21409419427315393,0.24978501598040262,-0.009124532341957092,0.9605942269166311,0.9167745510737101,0.9474668602148691,0.08851360436528921,0.07218188450982173,0.06586812281360228,0.030304798080275457,0.057533634981761374,0.027877498418092728,0.027614763006567955,0.868145483609807,0.8773252268632253,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,sd3_woopsupport,sd3_woopsupport,6,6,6,6,0.2774316643675168,-0.012175768613815308,0.0727373855188489,0.22294081995884577,0.25219016273816425,-0.0042539189259211225,0.9612748523553213,0.9279240767161051,0.9470661282539368,0.08255125830570857,0.06738976575434208,0.06229968431095282,0.0295871429455777,0.05459683854132891,0.027338298813750345,0.027121075273801882,0.8712315983754785,0.8799374004205068,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,sd3_wopreserve,sd3_wopreserve,6,6,6,6,0.27039870619773865,-0.0031307016809781394,0.1046806878099839,0.2307762677470843,0.25073674817879993,-7.336338361104329e-05,0.8659113943576813,0.7199492851893107,0.8434003492196401,0.35805083562930423,0.3056765596071879,0.2863340626160304,0.06889631040394306,0.11604645786186059,0.0633372434725364,0.06184189642469088,0.7132215841736912,0.7314707487821579,0.10808944702148438,0.15178426106770834,0.8482157389322916
T2_container_insertion,flux_maskedgap,flux_maskedgap,13,13,13,13,0.25668308024223035,0.008194180635305552,0.1258097468660428,0.23007900898273176,0.2574857244124779,0.0076484187291218685,0.8359803419846755,0.6792049591357892,0.8831343880066505,0.4524217202113225,0.2584396910208922,0.22599383271657503,0.11130295178064933,0.11897868089951001,0.10815416906888668,0.10642878596599285,0.6106132495812562,0.5950371347940885,0.49385687021108776,0.5669212341308594,0.4330787658691406
T2_container_insertion,flux_wofeedback,flux_wofeedback,13,13,13,13,0.270378155203966,0.02141764645393078,0.1932845665858342,0.23631196526380685,0.2678273423359944,0.02132483285207015,0.8943817569659307,0.7914672081287091,0.9691787087000333,0.2076895649616535,0.07990739494562149,0.06662176076609355,0.05373583848659809,0.07843731286434028,0.031359913329092354,0.02946879234738075,0.824166481285929,0.8865695412342365,0.49385687021108776,0.5669212341308594,0.4330787658691406
T2_container_insertion,flux_woopsupport,flux_woopsupport,13,13,13,13,0.2600110092988381,0.010290030103463393,0.2359707515973311,0.22989991765755874,0.26132582471920895,0.01350683432358962,0.9511674229915326,0.8716541161903968,0.9820115016056941,0.11324594198511197,0.03675628965720534,0.029819789718693264,0.034311529535513655,0.04547440561537559,0.020137728550113164,0.019680082583083555,0.8929804340709726,0.9405553019963778,0.49385687021108776,0.5669212341308594,0.4330787658691406
