method,method_display,n,complete_n,fixed_mask_n,local_clip_t_n,clip_t,clip_target_minus_source,clip_direction_similarity,local_clip_t,local_clip_t_full_prompt,local_clip_target_minus_source,clip_image_source_similarity,dino_source_similarity,bg_dino_source,lpips_full,lpips_outside,bg_lpips,source_l1,inside_l1,outside_l1,bg_l1,source_ssim_luma,bg_ssim_luma,eval_mask_area,dilated_edit_mask_area,bg_mask_area
flux_maskedgap,flux_maskedgap,116,116,116,116,0.28798247013112593,0.04531640572280719,0.19625565479910964,0.24535127459415074,0.28917807096551207,0.0488774955015758,0.7106134732221735,0.43900820774283134,0.8511362676990444,0.5347300993985143,0.3042511926835467,0.2730774785761304,0.12705923167282138,0.1441626188441597,0.11397708557417681,0.11252550973460593,0.5508414989060149,0.5924089317177904,0.45154400529532596,0.5199152190109779,0.4800847809890221
flux_wofeedback,flux_wofeedback,116,116,116,116,0.2983382597308734,0.05135734083837476,0.23166738110112733,0.24665846393026156,0.29718196045221956,0.051353695192213715,0.7782554998993874,0.6215258473851557,0.9494614262005379,0.2513746462826585,0.10753529380649682,0.09189839227022684,0.05987541501185503,0.09762352778865345,0.03700356341593353,0.03551453280920998,0.7882202582213381,0.8674667852705923,0.45154400529532596,0.5199152190109779,0.4800847809890221
flux_woopsupport,flux_woopsupport,116,116,116,116,0.283835889450435,0.03910519002840437,0.2355068156592034,0.24047274065428767,0.2845148216804554,0.04245538714117017,0.8398554905735213,0.7610761205954798,0.9772153589232214,0.1149281218712186,0.029758090237888172,0.024815609768195607,0.03499217138722025,0.06694534714815431,0.01800345370128494,0.017242469676320666,0.87990773037342,0.9425018969280966,0.45154400529532596,0.5199152190109779,0.4800847809890221
flux_wopreserve,flux_wopreserve,116,116,116,116,0.2989465953974888,0.0562119399165285,0.21273103770639362,0.25232624005654763,0.2982791211327602,0.0589796627133057,0.7036446630954742,0.4334221886920518,0.8478386366161806,0.5348518113123959,0.30032966430459557,0.2697047133014762,0.1350063964852999,0.1616827636186419,0.11757467539402945,0.11601998952442202,0.5495387972690644,0.6044227753219933,0.45154400529532596,0.5199152190109779,0.4800847809890221
full_flux,full_flux,116,116,116,116,0.29645877305803625,0.05819573060705744,0.2741747502044871,0.2531353375264283,0.29793590898143835,0.06225077319761802,0.8055942264096491,0.6616346628629955,0.9960750552086994,0.1579795174043754,0.019269461148661352,0.014897677604463313,0.04667601766514367,0.08514042805623391,0.015276213686367304,0.014705950621081966,0.8451068981995636,0.9524483521436823,0.45154400529532596,0.5199152190109779,0.4800847809890221
full_sd3,full_sd3,116,116,116,116,0.3070607591291954,0.06692465176356249,0.2774546680859579,0.24568894762417365,0.30521328554585064,0.06773719153013723,0.8040780301751762,0.6993827439587692,0.994501051717791,0.17634884858953542,0.0195569855611117,0.017049144952234828,0.05300967843303907,0.10118067940568616,0.015260700565955505,0.015003789505311128,0.8154899749284301,0.9371096517505317,0.45154400529532596,0.5199152190109779,0.4800847809890221
sd3_maskedgap,sd3_maskedgap,116,116,116,116,0.28997040899663135,0.03722678458896177,0.18336471931302342,0.2337557939362937,0.28732623725101863,0.0360367842789354,0.7817693660999167,0.6578895818313648,0.9350466723072117,0.3430171887679347,0.15957646384827215,0.13985768670982937,0.06422945277380018,0.09496804220794604,0.046109022219376315,0.04573226515364287,0.7380914042527849,0.7888247853723066,0.45154400529532596,0.5199152190109779,0.4800847809890221
sd3_wofeedback,sd3_wofeedback,116,116,116,116,0.27911113433796786,0.02095791042364877,0.19035803503356874,0.2198321339513721,0.27860423293093156,0.021888275213282685,0.8848891710412914,0.8626862182442484,0.9863993340525133,0.09228824753041283,0.025032100204984527,0.021240743489686104,0.028755284002821506,0.05285992961505364,0.016832835807721932,0.016359381546298492,0.8898418859875037,0.930553614579398,0.45154400529532596,0.5199152190109779,0.4800847809890221
sd3_woopsupport,sd3_woopsupport,116,116,116,116,0.27883847648727483,0.022699757382787508,0.20194669885175495,0.22167590472461848,0.27835337046919195,0.024005428984247405,0.8849803486774708,0.8630510650832077,0.9873662868450428,0.08759942718235583,0.02358122794775509,0.020032531648055362,0.027967017657797914,0.05113190289683126,0.016507263560297674,0.01603614815494752,0.8917711103605881,0.9317322604615113,0.45154400529532596,0.5199152190109779,0.4800847809890221
sd3_wopreserve,sd3_wopreserve,116,116,116,116,0.29168116635289687,0.04263881876550872,0.1926756970552278,0.2367368150373985,0.29033022939131176,0.04209475026562296,0.7735693423912443,0.649481162043481,0.9360564880329987,0.3457044414405165,0.15936701385513077,0.1397066925851034,0.0648870157110023,0.09602301877698508,0.04651577130024289,0.04610324113083811,0.7353370927329169,0.786853409532843,0.45154400529532596,0.5199152190109779,0.4800847809890221
