family_label,method,method_display,n,complete_n,fixed_mask_n,local_clip_t_n,clip_t,clip_target_minus_source,clip_direction_similarity,local_clip_t,local_clip_t_full_prompt,local_clip_target_minus_source,clip_image_source_similarity,dino_source_similarity,bg_dino_source,lpips_full,lpips_outside,bg_lpips,source_l1,inside_l1,outside_l1,bg_l1,source_ssim_luma,bg_ssim_luma,eval_mask_area,dilated_edit_mask_area,bg_mask_area
,ours_flux,Ours (FLUX),116,116,116,116,0.3054552953047999,0.06719225041311362,0.2537347928396073,0.2531353375264283,0.30717849050616397,0.07149334996938705,0.8055942264096491,0.6616346628629955,0.9960750552086994,0.1579795174043754,0.019269461148661352,0.014897677604463313,0.04667601766514367,0.08514042805623391,0.015276213686367304,0.014705950621081966,0.8451068981995636,0.9524483521436823,0.45154400529532596,0.5199152190109779,0.4800847809890221
,ours_sd3,Ours (SD3),116,116,116,116,0.3102246029623624,0.07008849084377289,0.2553368351454365,0.24568894762417365,0.30828803289553214,0.07081193541144502,0.8040780301751762,0.6993827439587692,0.994501051717791,0.17634884858953542,0.0195569855611117,0.017049144952234828,0.05300967843303907,0.10118067940568616,0.015260700565955505,0.015003789505311128,0.8154899749284301,0.9371096517505317,0.45154400529532596,0.5199152190109779,0.4800847809890221
T1_attached_accessory,drfs_sd3,DRFS (SD3),6,6,6,6,0.2890440970659256,0.03960224241018295,0.25082642833391827,0.2225551133354505,0.27838726838429767,0.00805108497540156,0.8391585052013397,0.7778730094432831,0.7587560017903646,0.6125516096750895,0.5376155028740565,0.5260705997546514,0.1817255566517512,0.2437313050031662,0.1733996942639351,0.1727045178413391,0.3901599474614041,0.41273552055160206,0.10774501164754231,0.1257289250691732,0.8742710749308268
T1_attached_accessory,fireflow,FireFlow,6,6,6,6,0.3051372915506363,0.05497970183690389,0.289331816136837,0.2808543046315511,0.2852632999420166,0.06649963061014812,0.8456229567527771,0.8141908148924509,0.9000414510567983,0.2992697134613991,0.2535874967773755,0.23391032218933105,0.06915145056943099,0.1035662479698658,0.06456959185500939,0.06286029952267806,0.7391543051383239,0.7622248331705729,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,flowedit_flux,FlowEdit (FLUX),6,6,6,6,0.3073488076527913,0.0643774742881457,0.3507307817538579,0.28495418032010394,0.2913237561782201,0.07228548328081767,0.8528979818026224,0.778888205687205,0.8629647692044576,0.30396601061026257,0.26440203686555225,0.25782961895068485,0.08407437428832054,0.13352877274155617,0.07879188594718774,0.07810733964045842,0.7437981554766265,0.7648091117540995,0.10760879516601562,0.12895568211873373,0.8710443178812662
T1_attached_accessory,flowedit_sd3,FlowEdit (SD3),6,6,6,6,0.3052954028050105,0.06123505781094233,0.3431174357732137,0.2733457187811534,0.28973836700121564,0.06937700510025024,0.860391745964686,0.8594003220399221,0.9016375442345937,0.20336931695540747,0.1714884415268898,0.16482351844509444,0.05756422194341818,0.11553667858242989,0.05107276017467181,0.0503513024499019,0.81865843517137,0.8393057286739349,0.10760879516601562,0.12895568211873373,0.8710443178812662
T1_attached_accessory,instruct_pix2pix,InstructPix2Pix,6,6,6,6,0.2862103010217349,0.002120792865753174,0.11636671610176563,0.2334744855761528,0.26430458078781766,0.022449714442094166,0.946449339389801,0.906953493754069,0.9488999048868815,0.09539530674616496,0.08064703146616618,0.07491214262942474,0.04365773902585109,0.056594777231415115,0.04194784195472797,0.04161222682644924,0.7551102529056757,0.7619546055793762,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,ledits_pp,LEDITS++,6,6,6,6,0.19677972545226416,0.044933983435233436,0.1947372853755951,0.19209163635969162,0.20150214930375418,0.01422800620396932,0.6596027612686157,0.07782253498832385,0.6822896699110667,0.2950178359945615,0.2446072374780973,0.22837558637062708,0.08868855362137158,0.13783719018101692,0.082459873209397,0.0811093890418609,0.6528958279098366,0.6739618629217148,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,otrf_enh_sd3,OT-RF enhanced (SD3),6,6,6,6,0.30624011158943176,0.049033929904301964,0.34405457973480225,0.275205800930659,0.2939273615678151,0.06000927835702896,0.8863462110360464,0.9180336693922678,0.9476106663544973,0.09691411753495534,0.07601022596160571,0.07198294376333554,0.03350984708716472,0.06439883758624394,0.030038779291013878,0.029773683287203312,0.884077715130589,0.89759761095047,0.10760879516601562,0.12895568211873373,0.8710443178812662
T1_attached_accessory,reflex,ReFLEx,6,6,6,6,0.30985353390375775,0.05270110567410787,0.27336364053189754,0.26366927723089856,0.2932302753130595,0.06535840531190236,0.8617106974124908,0.8544767101605734,0.9237734874089559,0.2723410998781522,0.23831412692864737,0.23166711380084357,0.06505022197961807,0.11253245547413826,0.05953466147184372,0.05880413639048735,0.6402810964680428,0.6549501270055771,0.10760879516601562,0.12895568211873373,0.8710443178812662
T1_attached_accessory,rf_solver_edit,RF-Solver-Edit,6,6,6,6,0.30031496783097583,0.042695797979831696,0.2852124373118083,0.26660871257384616,0.28117741147677106,0.05193093419075012,0.8612006405989329,0.860867957274119,0.933774729569753,0.21744559208552042,0.1915168066819509,0.17774100477496782,0.047979059939583145,0.07255435983339946,0.045521423841516175,0.04486787629624208,0.8039020429690472,0.8142942587534586,0.10808944702148438,0.15178426106770834,0.8482157389322916
T1_attached_accessory,splitflow_sd3,SplitFlow (SD3),6,6,6,6,0.30980417629082996,0.05981777608394623,0.34630157550175983,0.27542386452356976,0.29071635007858276,0.06660778323809306,0.8704074025154114,0.8665832380453745,0.9063694576422373,0.20411909371614456,0.16936860730250677,0.1634933277964592,0.05742051390310129,0.11448846757411957,0.05078458413481712,0.050167242685953774,0.8150192868910113,0.8351427515347799,0.10760879516601562,0.12895568211873373,0.8710443178812662
T2_container_insertion,drfs_sd3,DRFS (SD3),13,13,13,13,0.24579313970529115,-0.00034324366312760574,0.12052831555215213,0.2097404427253283,0.24632475811701554,0.000547760954269996,0.9226022087610685,0.9128614343129672,0.917349650309636,0.6496459291531489,0.2926226756893672,0.26926055951760364,0.21836064412043646,0.2815976876478929,0.15171620393028626,0.14437607417886072,0.43073631817019936,0.5751050802377554,0.49303832420936,0.5235280990600586,0.4764719009399414
T2_container_insertion,fireflow,FireFlow,13,13,13,13,0.2726587630235232,0.01586574659897731,0.17121295458995378,0.24113850754040939,0.275352534193259,0.01819671461215386,0.9046393816287701,0.792215361044957,0.9502173662185669,0.28384775954943436,0.14430565415666655,0.12248372243574032,0.0671487797338229,0.08001265474236928,0.054916455338780694,0.05388783563214999,0.7589437213095391,0.7881058546213003,0.49385687021108776,0.5669212341308594,0.4330787658691406
T2_container_insertion,flowedit_flux,FlowEdit (FLUX),13,13,13,13,0.26226845727517056,0.012314515618177561,0.16586199015952074,0.23215016493430504,0.26372850170502293,0.013440033564200768,0.9251039257416358,0.8786185475496145,0.977016609448653,0.2471474242898134,0.10888696863101079,0.10132230058885537,0.07572986701360115,0.08868701985249153,0.06194933403569918,0.0617865682221376,0.8120781910166662,0.8720710415106553,0.49272970052865833,0.5290029232318585,0.4709970767681415
T2_container_insertion,flowedit_sd3,FlowEdit (SD3),13,13,13,13,0.26609774163136113,0.025144210228553183,0.23788028668898803,0.2336321220948146,0.26546739500302535,0.02577701210975647,0.9165014487046462,0.8367978288577154,0.9792995086083045,0.22541374770494607,0.08174802721119843,0.0742177557773315,0.0602189742315274,0.07886275591758582,0.04120315066896952,0.04009688846193827,0.8308103441853916,0.8847154378890991,0.49272970052865833,0.5290029232318585,0.4709970767681415
T2_container_insertion,instruct_pix2pix,InstructPix2Pix,13,13,13,13,0.2514672095959003,0.0014102917451124925,0.10386523274848095,0.23016296670987055,0.25195503120238966,0.0020505270132651697,0.9337083926567664,0.8536085004989917,0.9498977615283086,0.15213064964000994,0.08216561255260156,0.07558198806901391,0.06385199410411027,0.08543262917261857,0.049683504952834204,0.04889548963938768,0.7742395329745773,0.8277209126032316,0.49385687021108776,0.5669212341308594,0.4330787658691406
T2_container_insertion,ledits_pp,LEDITS++,13,13,13,13,0.2218822309604058,0.03600754990027501,0.1923698175411958,0.2257391225833159,0.21820522500918463,0.0362983477803377,0.7921478564922626,0.3573528086909881,0.9471342838727511,0.3138064914024793,0.12243572507913296,0.10139188080882797,0.09492573915765835,0.12945969632038704,0.06452536382354222,0.05864674870211344,0.6841401720401473,0.7804089692922739,0.49385687021108776,0.5669212341308594,0.4330787658691406
T2_container_insertion,otrf_enh_sd3,OT-RF enhanced (SD3),13,13,13,13,0.2577567215149219,0.008531696521318875,0.24708794372586104,0.22463873258003822,0.258353149661651,0.009106289881926317,0.9639999774786142,0.924175514624669,0.9911536345115075,0.08599644956680444,0.025975976282587417,0.02348965764618837,0.029402776836202696,0.03856140790650478,0.02037958908252991,0.019909355646142594,0.9201172605459095,0.943036152766301,0.49272970052865833,0.5290029232318585,0.4709970767681415
T2_container_insertion,reflex,ReFLEx,13,13,13,13,0.26531141767135036,0.016318247868464544,0.165706927386614,0.23112594508207762,0.266778459915748,0.015856784123640794,0.9135165948134202,0.8409437674742478,0.9818587165612441,0.25638551207689136,0.07609598023387101,0.06887601373287347,0.06405319044223198,0.08884473374256721,0.03223193078660048,0.031074524212342042,0.718721409151287,0.8272550243597764,0.49272970052865833,0.5290029232318585,0.4709970767681415
T2_container_insertion,rf_solver_edit,RF-Solver-Edit,13,13,13,13,0.2750859776368508,0.008622225660544176,0.1471495947872217,0.23912326991558075,0.27604890901308793,0.01178000752742474,0.9174826282721299,0.8504268847979032,0.9775591721901526,0.21489579173234793,0.08605542134207028,0.07024936721875118,0.050415740276758485,0.06278264665832886,0.03574937195158922,0.03410395736304613,0.8136756048897525,0.8485140662926894,0.49385687021108776,0.5669212341308594,0.4330787658691406
T2_container_insertion,splitflow_sd3,SplitFlow (SD3),13,13,13,13,0.2659950118798476,0.02652748502217806,0.2386003342958597,0.23334133510406202,0.2658732728316234,0.026737312857921306,0.9154394635787377,0.8379919712360089,0.9771598898447477,0.21898389206482813,0.07608321595650452,0.0696053858846426,0.0590446492513785,0.0774831513945873,0.04022370708676485,0.039376071869180754,0.8338479336705237,0.8881323979451106,0.49272970052865833,0.5290029232318585,0.4709970767681415
T3_surface_decal,drfs_sd3,DRFS (SD3),41,41,41,41,0.2820454828622865,-0.007039019247380699,0.15725305876353893,0.21845658705001925,0.294607153752955,0.021657485424018488,0.8657418751135105,0.8921868335909959,0.9072396493539577,0.5942991237814833,0.2907863278509822,0.28123211358651157,0.1761907184632813,0.24520198928146827,0.12039915104283065,0.11999114011073621,0.588509712714478,0.6730060511972846,0.43670812467249426,0.45780134201049805,0.542198657989502
