method,method_display,seed,n,complete_n,fixed_mask_n,local_clip_t_n,clip_t,clip_target_minus_source,clip_direction_similarity,local_clip_t,local_clip_t_full_prompt,local_clip_target_minus_source,clip_image_source_similarity,dino_source_similarity,bg_dino_source,lpips_full,lpips_outside,bg_lpips,source_l1,inside_l1,outside_l1,bg_l1,source_ssim_luma,bg_ssim_luma,eval_mask_area,dilated_edit_mask_area,bg_mask_area
drfs_sd3,DRFS (SD3),10,135,135,135,135,0.2691443983051512,0.013111319696461713,0.16887413304713036,0.2208240658044815,0.27388422731999995,0.021256089431268197,0.8595808377972356,0.8048733159347817,0.9127527086823075,0.5998872306611803,0.29679768094103093,0.28327205394291216,0.17661713256880088,0.237219586637285,0.12323762680645342,0.1212329771473176,0.4914120499682223,0.5856046797500716,0.4378750659801342,0.4632165025781702,0.5367834974218297
fireflow,FireFlow,10,135,135,135,135,0.31001622709963056,0.06035191979673174,0.2402150083747175,0.2516471235840409,0.30828771149670636,0.06162412453580786,0.7756871777552146,0.6359987992655348,0.9329548473711367,0.3212432393873179,0.16025903453291565,0.1417928952689248,0.07482129730008266,0.09800490350634963,0.05863790669374996,0.0577700091180978,0.7236794206190635,0.7850727220376332,0.43846706814236114,0.5064046223958333,0.49359537760416666
flowedit_flux,FlowEdit (FLUX),10,135,135,135,135,0.29967687836399787,0.05160285113034425,0.2483730166391642,0.24296193950706058,0.3003866117309641,0.05318224187250491,0.8317541285797402,0.7089263104730182,0.943847628876015,0.26424532179479243,0.13029939418451653,0.12363358164482095,0.07478258873301524,0.1001908558110396,0.05795057683631226,0.05786497655014197,0.7851317765780778,0.844503895883207,0.4374197430080838,0.471044307284885,0.528955692715115
flowedit_sd3,FlowEdit (SD3),10,135,135,135,135,0.3039124000955511,0.06238768774050253,0.2797667986264935,0.2499754219143479,0.30260331829388937,0.0639942788415485,0.8178875755380701,0.7079310677669667,0.9608940486554747,0.19970192851291763,0.08388471022524216,0.07933251242739735,0.05578002690992973,0.08194281483689944,0.038675124446551,0.03832491398271587,0.8257978024272994,0.8862496349546645,0.4374197430080838,0.471044307284885,0.528955692715115
instruct_pix2pix,InstructPix2Pix,10,135,135,135,135,0.27048761668028654,0.017216236613414905,0.17340996607241255,0.23666788240273792,0.267171021633678,0.016383334883937128,0.8576939598277763,0.7073148248648202,0.9621481131624292,0.21773516360532355,0.11794096739376309,0.10633128304551873,0.08733885916018927,0.10451259633733166,0.07301099747419357,0.07293409342981047,0.743759458427721,0.7834550914941011,0.43846706814236114,0.5064046223958333,0.49359537760416666
ledits_pp,LEDITS++,10,135,135,135,135,0.2515202102837739,0.052498110080206835,0.2157885324347902,0.24326427854873517,0.24972626290939473,0.05045266427375652,0.7176279184994874,0.3750192337221018,0.9107926883079388,0.3025793093774054,0.13815034861779876,0.12405945989475758,0.08958535718697089,0.12428929725730861,0.06634489285449187,0.0649952208140382,0.697012847430849,0.7814510321175611,0.43846706814236114,0.5064046223958333,0.49359537760416666
otrf_enh_sd3,OT-RF enhanced (SD3),10,135,135,135,135,0.2807187168686478,0.024693974521425036,0.22865922073316242,0.22948745930636372,0.28101336061954496,0.02647855038996096,0.8930109377260561,0.8447267689086773,0.984619019208131,0.08893902696393154,0.03144736519704262,0.02961186960218819,0.0293614789015717,0.0427463515351216,0.020789459351174256,0.020648542991666883,0.9015672624089963,0.9327337958194591,0.4374197430080838,0.471044307284885,0.528955692715115
ours_flux,Ours (FLUX),10,135,135,135,135,0.2990922705994712,0.058874003644342775,0.2489150287307523,0.2481400351833414,0.30033505514816,0.06286106805006662,0.8280153614503366,0.6907551671067874,0.9964578575558133,0.14581417083326315,0.018461970140924676,0.01451101626487259,0.04436977020016423,0.0814727286911673,0.015131916198879481,0.014612020546984341,0.8535648596153318,0.9503066632482741,0.43846706814236114,0.5064046223958333,0.49359537760416666
ours_sd3,Ours (SD3),10,135,135,135,135,0.30385661478395815,0.061709072744404826,0.24509336843534751,0.24204063691474773,0.30159920012509384,0.0627715899988457,0.8229607122915762,0.7180063667120757,0.9949638234244452,0.17026461161397122,0.020540353780207053,0.01800450340185004,0.05134145814787459,0.09956015142853614,0.015604582735923704,0.015349302478824501,0.8202587803391772,0.9316309818515072,0.43846706814236114,0.5064046223958333,0.49359537760416666
reflex,ReFLEx,10,135,135,135,135,0.30447104462870844,0.057259720784646494,0.25603219193440896,0.2510915680064095,0.30384352814268184,0.05896795342365901,0.8085587007028086,0.6862058182557423,0.9612988622100265,0.26863441588702025,0.11738171171810892,0.10977997172071978,0.06695608293844593,0.10402160223435472,0.04125318350615325,0.04086523901809145,0.7017759193788262,0.7720751947826809,0.4374197430080838,0.471044307284885,0.528955692715115
rf_solver_edit,RF-Solver-Edit,10,135,135,135,135,0.30123839135523195,0.05331180459923214,0.23573854801555474,0.24509104468204357,0.30056895116964977,0.054735760335569025,0.7993551541257787,0.6966430152180019,0.9521422664324443,0.26331107412223465,0.12931812954204225,0.11316534067262654,0.052565358248021866,0.07301036963860194,0.04020563010816221,0.039985264527300994,0.777928565064912,0.8235697156853146,0.43846706814236114,0.5064046223958333,0.49359537760416666
splitflow_sd3,SplitFlow (SD3),10,135,135,135,135,0.30418818725479974,0.0636461501872098,0.28640218632364717,0.25165690349207986,0.3039577124295411,0.06630963307839853,0.8181404723061456,0.7105671286582946,0.961426188327648,0.19919171537514085,0.08343151097220403,0.07892989787031655,0.055376504485805826,0.08116212222311232,0.038245594791240164,0.03795145374067404,0.8260445382931211,0.8868980818324619,0.4374197430080838,0.471044307284885,0.528955692715115
