method,n,clip_t,clip_target_minus_source,clip_direction_similarity,local_clip_t_full_prompt,local_clip_target_minus_source,clip_image_source_similarity,dino_source_similarity,bg_dino_source,lpips_full,lpips_outside,bg_lpips,source_l1,inside_l1,outside_l1,bg_l1,source_ssim_luma,bg_ssim_luma,eval_mask_area,bg_mask_area
fireflow,118,0.3136266161829738,0.06592667178582337,0.2513066872764947,0.3115646182480505,0.06729290861699541,0.7638383091001187,0.6334279887693919,0.9296233588356083,0.31843462744254175,0.16524370247498155,0.14737224900479412,0.07391237214965335,0.0983185661104271,0.0586625927648807,0.05778725082212585,0.7311642817588155,0.7968509409387233,0.4157378309864109,0.5172537140927073
flowedit_flux,118,0.30432979560504525,0.05843500035294032,0.2641210459425288,0.3059707532747317,0.06094790666790332,0.8214198088241835,0.7145170531535553,0.9420223018880618,0.252857784030296,0.13430145610187014,0.1283474091156307,0.07161456325991174,0.09806669263516442,0.05705082761439479,0.057248787275689134,0.7960726104836948,0.848823359457113,0.4147232831534693,0.5521366959911281
flowedit_sd3,118,0.3072400045091823,0.06538770676164304,0.2871419194359648,0.3059437675243717,0.06721625205571369,0.814145704952337,0.7151262054251413,0.9575728561918614,0.19082692458089126,0.08761604457020254,0.08358022200448786,0.05313008636930736,0.07966110819035162,0.038483304208365536,0.03825550361425947,0.8352205549730716,0.8919593307931545,0.4147232831534693,0.5521366959911281
instruct_pix2pix,118,0.2709228482286809,0.017105049753593185,0.1749241098374823,0.26723013931916934,0.01612112241781364,0.8518309777570983,0.6865338880442462,0.958120752189119,0.22265686254190692,0.127396776650685,0.11557037131742463,0.08894551417522006,0.10624165181070566,0.0755238407054695,0.0757793254392632,0.7516049866193787,0.7909707629074485,0.4157378309864109,0.5172537140927073
ledits_pp,118,0.2509061998482478,0.052175203306695166,0.21612230628350024,0.2494374556561648,0.04981755433698832,0.7146615797685365,0.3766290011215892,0.9019285629866487,0.3017306173125566,0.14795406458709956,0.1340163495328467,0.08930599923103542,0.12514583258179285,0.0686496247900492,0.0676704044848428,0.708465858568837,0.789732738824214,0.4157378309864109,0.5172537140927073
reflex,118,0.3078888298596366,0.06156368578894664,0.2690415706296088,0.30703232740446673,0.0634266556698387,0.8028715141748978,0.6935676141815671,0.9616385294219195,0.25049463268053734,0.11793237981402267,0.11118694659227789,0.06278709453230692,0.10161994656516334,0.03909155246564897,0.03881717951557899,0.7221653776128301,0.7896626094135187,0.4147232831534693,0.5521366959911281
rf_solver_edit,118,0.3041014878426568,0.057866969982446254,0.24730027299690044,0.3033601410560689,0.05935406167123277,0.7911463213168969,0.7009595742733297,0.9484112525390367,0.259361919015646,0.1351952768518921,0.11955754672398128,0.05094878615464194,0.07235419914378959,0.040044185942259884,0.0400503873430445,0.7856542256492585,0.8308892409175129,0.4157378309864109,0.5172537140927073
sam_flow_flux,118,0.2849251733998121,0.03683598415326264,0.23576002733750365,0.2859582562567824,0.036968682403281584,0.8689330695039135,0.8141101987685188,0.9824741144301528,0.08829771465290401,0.023755143224646464,0.020035595339708133,0.0338868202357474,0.0643432817848052,0.0172622649125376,0.016618204078147725,0.9017366086074079,0.9487927500474251,0.4157378309864109,0.5172537140927073
sam_flow_sd3,118,0.3135251933235233,0.08008186822220431,0.32083853331031437,0.3133931292568223,0.08221947389133906,0.8083684727296991,0.6909356687407372,0.9713727028693183,0.16224554755677612,0.04552782657388519,0.038907319035033805,0.05073815516306687,0.09449195877601535,0.024838835959938372,0.02379496110666354,0.8245848349122551,0.9130323837369175,0.4157378309864109,0.5172537140927073
splitflow_sd3,118,0.31075321996616107,0.07145301732471433,0.30253368666616537,0.3095418006434279,0.07349041066432403,0.8129958126504543,0.7142403851878845,0.9587615925376698,0.19063550211741762,0.08707263880267234,0.0829118552412522,0.05290579298605858,0.07977810789341644,0.037949453913054224,0.037761350059723954,0.8350023853144487,0.8923711342326666,0.4147232831534693,0.5521366959911281
