method,n,clip_direction_similarity,edit_score,inside_l1,bg_l1,bg_ssim_luma,bg_lpips,bg_dino_source,lpips_full,source_l1,source_ssim_luma
fireflow,118,0.2513066872764947,0.06592667178582337,0.0983185661104271,0.05778725082212585,0.7968509409387233,0.14737224900479412,0.9296233588356083,0.31843462744254175,0.07391237214965335,0.7311642817588155
flowedit_flux,118,0.2641210459425288,0.05843500035294032,0.09806669263516442,0.057248787275689134,0.848823359457113,0.1283474091156307,0.9420223018880618,0.252857784030296,0.07161456325991174,0.7960726104836948
flowedit_sd3,118,0.2871419194359648,0.06538770676164304,0.07966110819035162,0.03825550361425947,0.8919593307931545,0.08358022200448786,0.9575728561918614,0.19082692458089126,0.05313008636930736,0.8352205549730716
reflex,118,0.2690415706296088,0.06156368578894664,0.10161994656516334,0.03881717951557899,0.7896626094135187,0.11118694659227789,0.9616385294219195,0.25049463268053734,0.06278709453230692,0.7221653776128301
rf_solver_edit,118,0.24730027299690044,0.057866969982446254,0.07235419914378959,0.0400503873430445,0.8308892409175129,0.11955754672398128,0.9484112525390367,0.259361919015646,0.05094878615464194,0.7856542256492585
sam_flow_flux,118,0.23576002733750365,0.03683598415326264,0.0643432817848052,0.016618204078147725,0.9487927500474251,0.020035595339708133,0.9824741144301528,0.08829771465290401,0.0338868202357474,0.9017366086074079
sam_flow_sd3,118,0.32083853331031437,0.08008186822220431,0.09449195877601535,0.02379496110666354,0.9130323837369175,0.038907319035033805,0.9713727028693183,0.16224554755677612,0.05073815516306687,0.8245848349122551
splitflow_sd3,118,0.30253368666616537,0.07145301732471433,0.07977810789341644,0.037761350059723954,0.8923711342326666,0.0829118552412522,0.9587615925376698,0.19063550211741762,0.05290579298605858,0.8350023853144487
dece_rf_flux,118,0.22302680142949952,0.027957611164804233,0.055590021629202166,0.012940121800796586,0.961700957205336,0.016468330141417367,0.9862045383049269,0.0865107054222312,0.02816163939897413,0.9114485655341187
dece_rf_sd3,118,0.21150674761699165,0.03433767074750642,0.07048230217690817,0.015546141025093305,0.939928701873553,0.02712403430228671,0.983301729468976,0.11662254171935305,0.034820951489826384,0.874309665341109
