avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,bg_dilate_px,bg_dino_source,bg_l1,bg_lpips,bg_lpips_x100,bg_mask_area,bg_psnr,bg_ssim,bg_ssim_luma,clip_direction_similarity,clip_image_source_similarity,clip_source_score,clip_t,clip_target_minus_source,clip_target_score,complete,dilated_edit_mask_area,dino_source_similarity,edit_score,eval_mask_area,failure_flag,failure_note,fill_texture_ratio,final_mask_area,fixed_eval_mask_area,inside_blue_ratio,inside_l1,inside_mask_l1,inside_mask_psnr,inside_mask_rmse,inside_texture_energy,local_clip_prompt,local_clip_source_score,local_clip_t,local_clip_t_full_prompt,local_clip_target_minus_source,local_clip_target_score,local_crop_box,lpips_full,lpips_outside,mask_path,mask_source,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,method_display,missing,outside_l1,outside_mask_l1,outside_mask_psnr,outside_mask_rmse,peak_gpu_memory_gb,result_image,ring_texture_energy,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_psnr,source_rmse,source_ssim,source_ssim_luma,target_prompt,task
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9996911287307739,0.009403679519891739,0.009243449196219444,0.9243449196219444,0.37699127197265625,36.708570981864234,0.9873581528663635,0.9873581528663635,0.3054913580417633,0.9871217012405396,0.2490445375442505,0.24857699871063232,-0.00046753883361816406,0.24857699871063232,True,0.6230087280273438,0.9288694858551025,-0.00046753883361816406,0.5634307861328125,,,0.8880800378612836,0.0,0.5634307861328125,0.0,0.027720335870981216,0.027720335870981216,26.481426349869327,0.04741641141975579,13.060226440429688,a black bear,0.2490445375442505,0.22327160835266113,0.24857699871063232,-0.00046753883361816406,0.24857699871063232,"0,0,512,512",0.07629247009754181,0.011308069340884686,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_000_bear_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_flux,dece_rf_flux,,0.009572132490575314,0.009572132490575314,36.605186430378545,0.014782254615883582,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_r3full_metric_runs/fe_000_bear_1_black_bear/dece_rf_flux/seed_10/result.png,14.706136703491211,fe_000_bear_1_black_bear/dece_rf_flux/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear.png,0.019797392189502716,"A large brown bear walking through a stream of water. The stream appears to be shallow, as the bear is able to walk through it without any difficulty.",28.657695128099316,0.0369075522787561,0.9580536562659062,0.9580536562659062,"A large black bear walking through a stream of water. The stream appears to be shallow, as the black bear is able to walk through it without any difficulty.",fe_000_bear_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9998993873596191,0.005175611469894648,0.0028305836021900177,0.28305836021900177,0.37699127197265625,41.94252804489115,0.9964674115180969,0.9964674115180969,0.35825401544570923,0.9808212518692017,0.26568692922592163,0.27677780389785767,0.011090874671936035,0.27677780389785767,True,0.6230087280273438,0.8387441635131836,0.011090874671936035,0.5634307861328125,,,0.84575234626171,0.0,0.5634307861328125,0.011882193635748137,0.039677560329437256,0.039677560329437256,22.556552132825946,0.0745027654225775,15.937823295593262,a black bear,0.26568692922592163,0.23605965077877045,0.27677780389785767,0.011090874671936035,0.27677780389785767,"0,0,512,512",0.11155346035957336,0.0034942561760544777,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_000_bear_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_sd3,dece_rf_sd3,,0.005278764292597771,0.005278764292597771,41.79888414759126,0.008129349449778975,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_r3full_metric_runs/fe_000_bear_1_black_bear/dece_rf_sd3/seed_10/result.png,18.84455108642578,fe_000_bear_1_black_bear/dece_rf_sd3/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear.png,0.02466011233627796,"A large brown bear walking through a stream of water. The stream appears to be shallow, as the bear is able to walk through it without any difficulty.",25.008265070100045,0.05618064830426845,0.8758576710471488,0.8758576710471488,"A large black bear walking through a stream of water. The stream appears to be shallow, as the black bear is able to walk through it without any difficulty.",fe_000_bear_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9995282292366028,0.03128218278288841,0.016339769586920738,1.6339769586920738,0.37699127197265625,26.917640776138036,0.8809377551078796,0.8809377551078796,0.285625696182251,0.7641485333442688,0.25940650701522827,0.34260207414627075,0.08319556713104248,0.34260207414627075,True,0.6230087280273438,0.6145650148391724,0.08319556713104248,0.5634307861328125,,,0.8776153688633247,0.0,0.5634307861328125,0.03975626269465132,0.0801301822066307,0.0801301822066307,17.16127604350602,0.13865521156235125,15.089862823486328,a sculpture of a bear,0.25940650701522827,0.2529335021972656,0.34260207414627075,0.08319556713104248,0.34260207414627075,"0,0,512,512",0.17025360465049744,0.0207376666367054,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_003_bear_4_sculpture_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_flux,dece_rf_flux,,0.032531529664993286,0.032531529664993286,26.570380131399553,0.04693328938681169,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_r3full_metric_runs/fe_003_bear_4_sculpture/dece_rf_flux/seed_10/result.png,17.194164276123047,fe_003_bear_4_sculpture/dece_rf_flux/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear.png,0.05935007333755493,"A large brown bear walking through a stream of water. The stream appears to be shallow, as the bear is able to walk through it without any difficulty.",19.283480357398673,0.10859903899012613,0.7490665537667641,0.7490665537667641,"A large sculpture of a brown bear walking through a stream of water. The stream appears to be shallow, as the sculpture of the bear is able to walk through it without any difficulty.",fe_003_bear_4_sculpture
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9991848468780518,0.03936781361699104,0.0349135585129261,3.49135585129261,0.37699127197265625,24.76181327337501,0.7921935319900513,0.7921935319900513,0.29300928115844727,0.8095473051071167,0.2624555230140686,0.33648625016212463,0.07403072714805603,0.33648625016212463,True,0.6230087280273438,0.7054579257965088,0.07403072714805603,0.5634307861328125,,,0.9450490876792981,0.0,0.5634307861328125,0.0005484089370345294,0.10323405265808105,0.10323405265808105,15.910756434875362,0.16012611919841288,17.108213424682617,a sculpture of a bear,0.2624555230140686,0.2752665877342224,0.33648625016212463,0.07403072714805603,0.33648625016212463,"0,0,512,512",0.2628507912158966,0.04417883977293968,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_003_bear_4_sculpture_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_sd3,dece_rf_sd3,,0.04096044600009918,0.04096044600009918,24.404000178872533,0.06022821486115599,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_r3full_metric_runs/fe_003_bear_4_sculpture/dece_rf_sd3/seed_10/result.png,18.102989196777344,fe_003_bear_4_sculpture/dece_rf_sd3/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear.png,0.07604732364416122,"A large brown bear walking through a stream of water. The stream appears to be shallow, as the bear is able to walk through it without any difficulty.",17.95060912488995,0.12661044749032027,0.6363289898851203,0.6363289898851203,"A large sculpture of a brown bear walking through a stream of water. The stream appears to be shallow, as the sculpture of the bear is able to walk through it without any difficulty.",fe_003_bear_4_sculpture
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9992483258247375,0.010633077472448349,0.03188053146004677,3.188053146004677,0.702667236328125,36.65588353009296,0.9847401976585388,0.9847401976585388,0.2736797332763672,0.9133027195930481,0.22345304489135742,0.24756872653961182,0.024115681648254395,0.24756872653961182,True,0.297332763671875,0.8373208045959473,0.024115681648254395,0.23633575439453125,,,0.9233085443676232,0.0,0.23633575439453125,0.000516512251024954,0.04122382029891014,0.04122382029891014,22.54443971794066,0.07460673150277643,13.643129348754883,a black bear,0.25036028027534485,0.22735542058944702,0.23905420303344727,-0.011306077241897583,0.23905420303344727,"39,75,512,494",0.06575005501508713,0.03373151272535324,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_004_bear_grass_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_flux,dece_rf_flux,,0.010759732685983181,0.010759732685983181,36.5920985885444,0.014804545210133146,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_r3full_metric_runs/fe_004_bear_grass_1_black_bear/dece_rf_flux/seed_10/result.png,14.776349067687988,fe_004_bear_grass_1_black_bear/dece_rf_flux/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear_grass.png,0.017959486693143845,A large brown bear walking through a grassy field.,28.288998977551465,0.038507919133081846,0.9710068761160292,0.9710068761160292,A large black bear walking through a grassy field.,fe_004_bear_grass_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9998856782913208,0.005830611567944288,0.009609156288206577,0.9609156288206577,0.702667236328125,41.75010962356279,0.9959540963172913,0.9959540963172913,0.18103542923927307,0.857455849647522,0.24204185605049133,0.25650322437286377,0.014461368322372437,0.25650322437286377,True,0.297332763671875,0.7056757211685181,0.014461368322372437,0.23633575439453125,,,0.7604747791810773,0.0,0.23633575439453125,0.0020499079962552863,0.07723766565322876,0.07723766565322876,16.17585316602237,0.15531283304689186,14.703022003173828,a black bear,0.22849099338054657,0.2639644145965576,0.25042301416397095,0.021932020783424377,0.25042301416397095,"39,75,512,494",0.08740811794996262,0.010333256796002388,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_004_bear_grass_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_sd3,dece_rf_sd3,,0.005902431905269623,0.005902431905269623,41.68314318485072,0.008238399360236497,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_r3full_metric_runs/fe_004_bear_grass_1_black_bear/dece_rf_sd3/seed_10/result.png,19.334003448486328,fe_004_bear_grass_1_black_bear/dece_rf_sd3/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear_grass.png,0.022761501371860504,A large brown bear walking through a grassy field.,22.401251863867518,0.07584682520391321,0.9323729345358397,0.9323729345358397,A large black bear walking through a grassy field.,fe_004_bear_grass_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9992590546607971,0.046286825090646744,0.054928794503211975,5.4928794503211975,0.702667236328125,23.955463807156097,0.7823382616043091,0.7823382616043091,0.2548869252204895,0.8084313869476318,0.2595924139022827,0.3411436676979065,0.08155125379562378,0.3411436676979065,True,0.297332763671875,0.46199968457221985,0.08155125379562378,0.23633575439453125,,,0.996469210311038,0.0,0.23633575439453125,0.0102333989734319,0.11033588647842407,0.11033588647842407,14.982496322005623,0.17818665859434527,18.80272102355957,a sculpture of a bear,0.25934216380119324,0.29126474261283875,0.343176931142807,0.08383476734161377,0.343176931142807,"39,75,512,494",0.16736294329166412,0.06339985132217407,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_007_bear_grass_4_sculpture_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_flux,dece_rf_flux,,0.04704444482922554,0.04704444482922554,23.84905779466127,0.06420178608741106,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_r3full_metric_runs/fe_007_bear_grass_4_sculpture/dece_rf_flux/seed_10/result.png,18.86934471130371,fe_007_bear_grass_4_sculpture/dece_rf_flux/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear_grass.png,0.06200246885418892,A large brown bear walking through a grassy field.,19.725891538055254,0.10320611332155652,0.7203094100037181,0.7203094100037181,A large sculpture of a brown bear walking through a grassy field.,fe_007_bear_grass_4_sculpture
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9975335597991943,0.05666939541697502,0.11172661185264587,11.172661185264587,0.702667236328125,22.327056806061677,0.6504144668579102,0.6504144668579102,0.17942148447036743,0.8347876071929932,0.2837398648262024,0.3363182544708252,0.0525783896446228,0.3363182544708252,True,0.297332763671875,0.6065560579299927,0.0525783896446228,0.23633575439453125,,,0.9617344374941849,0.0,0.23633575439453125,3.228201568905962e-05,0.11583424359560013,0.11583424359560013,14.936951631498466,0.17912343888956817,18.19719696044922,a sculpture of a bear,0.2992055416107178,0.2947567105293274,0.3703296184539795,0.07112407684326172,0.3703296184539795,"39,75,512,494",0.23867540061473846,0.1308959722518921,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_007_bear_grass_4_sculpture_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_sd3,dece_rf_sd3,,0.05758661404252052,0.05758661404252052,22.199351479883077,0.07763050762258732,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_r3full_metric_runs/fe_007_bear_grass_4_sculpture/dece_rf_sd3/seed_10/result.png,18.921228408813477,fe_007_bear_grass_4_sculpture/dece_rf_sd3/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear_grass.png,0.07135260850191116,A large brown bear walking through a grassy field.,19.14170786130484,0.11038615520064407,0.6002972544875478,0.6002972544875478,A large sculpture of a brown bear walking through a grassy field.,fe_007_bear_grass_4_sculpture
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9959081411361694,0.008932393044233322,0.004225871060043573,0.42258710600435734,0.3699378967285156,40.48794886709767,0.9955382347106934,0.9955382347106934,0.09922952950000763,0.9812408089637756,0.24155688285827637,0.17897792160511017,-0.0625789612531662,0.17897792160511017,True,0.6300621032714844,0.7643529176712036,-0.0625789612531662,0.5396537780761719,,,1.3833704499358865,0.0,0.5396537780761719,9.189422268090792e-05,0.021151652559638023,0.021151652559638023,26.214099699492877,0.04889844122906604,3.351534366607666,a glass with cocktail,0.24155688285827637,0.1922999918460846,0.17897792160511017,-0.0625789612531662,0.17897792160511017,"0,0,512,512",0.04543750733137131,0.004339707084000111,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_010_beer_glass_1_cocktail_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_flux,dece_rf_flux,,0.009082322008907795,0.009082322008907795,40.066218360401066,0.009924053159908052,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_r3full_metric_runs/fe_010_beer_glass_1_cocktail/dece_rf_flux/seed_10/result.png,2.4227309226989746,fe_010_beer_glass_1_cocktail/dece_rf_flux/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/beer_glass.png,0.015595576725900173,A wine glass filled with beer.,28.742970029531214,0.036546980249266406,0.9683811683728013,0.9683811683728013,"A wine glass filled with a vibrant red cocktail, garnished with an orange wedge.",fe_010_beer_glass_1_cocktail
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.997269332408905,0.004162066616117954,0.0031250130850821733,0.31250130850821733,0.3699378967285156,45.3973265615243,0.9940578937530518,0.9940578937530518,0.2698162794113159,0.7824611663818359,0.19017145037651062,0.2644129991531372,0.07424154877662659,0.2644129991531372,True,0.6300621032714844,0.705596387386322,0.07424154877662659,0.5396537780761719,,,2.2370989224003712,0.0,0.5396537780761719,0.0027144139622668185,0.08007381111383438,0.08007381111383438,15.119004759858539,0.17540814751856512,5.095834255218506,a glass with cocktail,0.19017145037651062,0.2528163194656372,0.2644129991531372,0.07424154877662659,0.2644129991531372,"0,0,512,512",0.15313097834587097,0.0056681036949157715,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/eval_masks/fe_010_beer_glass_1_cocktail_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,dece_rf_sd3,dece_rf_sd3,,0.004615627229213715,0.004615627229213715,41.45036804627917,0.008462167113967412,,/cluster/users/grad/2025/25t8103/project/outputs/fe118_r3full_metric_runs/fe_010_beer_glass_1_cocktail/dece_rf_sd3/seed_10/result.png,2.277876138687134,fe_010_beer_glass_1_cocktail/dece_rf_sd3/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/beer_glass.png,0.045336928218603134,A wine glass filled with beer.,17.78923882714006,0.1289846586412607,0.8682783603105418,0.8682783603105418,"A wine glass filled with a vibrant red cocktail, garnished with an orange wedge.",fe_010_beer_glass_1_cocktail
