avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,bg_dilate_px,bg_dino_source,bg_l1,bg_lpips,bg_lpips_x100,bg_mask_area,bg_psnr,bg_ssim,bg_ssim_luma,clip_direction_similarity,clip_image_source_similarity,clip_source_score,clip_t,clip_target_minus_source,clip_target_score,complete,dilated_edit_mask_area,dino_source_similarity,edit_score,eval_mask_area,failure_flag,failure_note,fill_texture_ratio,final_mask_area,fixed_eval_mask_area,inside_blue_ratio,inside_l1,inside_mask_l1,inside_mask_psnr,inside_mask_rmse,inside_texture_energy,local_clip_prompt,local_clip_source_score,local_clip_t,local_clip_t_full_prompt,local_clip_target_minus_source,local_clip_target_score,local_crop_box,lpips_full,lpips_outside,mask_path,mask_source,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,method_display,missing,outside_l1,outside_mask_l1,outside_mask_psnr,outside_mask_rmse,peak_gpu_memory_gb,result_image,ring_texture_energy,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_psnr,source_rmse,source_ssim,source_ssim_luma,target_prompt,task
1.0,0.0,0.0,0.0,0.0,0.0,49.055687030156456,0.0,0.0,82.84370954831441,31,0.9991037249565125,0.005239535588771105,0.007775411941111088,0.7775411941111088,0.8213820684523809,40.63188384006417,0.9940032958984375,0.9940032958984375,0.12973815202713013,0.9516006708145142,0.2645891010761261,0.28378501534461975,0.019195914268493652,0.28378501534461975,True,0.17861793154761904,0.849012017250061,0.019195914268493652,0.10646275111607142,,,3.1260232920570545,0.0,,0.447993447993448,0.06293459236621857,0.06293459236621857,18.52158138078691,0.11855528829758574,7.818612575531006,a red apple inside a bowl,0.28128543496131897,0.23934057354927063,0.3039245009422302,0.022639065980911255,0.3039245009422302,"123,59,373,336",0.03412153944373131,0.009660722687840462,outputs/phase2_flux_paper_truecfg_full_20260617/bowl_apple_inside/dece_rf_flux/seed_10/masks/subject_final.png,run_mask,1.0,245.45608520507812,0.0,227.78561401367188,dece_rf_flux,dece_rf_flux,,0.005378691013902426,0.005378691013902426,39.35755182623395,0.010767686650250657,,outputs/phase2_flux_paper_truecfg_full_20260617/bowl_apple_inside/dece_rf_flux/seed_10/result.png,2.5011370182037354,bowl_apple_inside/dece_rf_flux/seed_10,,10,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.011506248265504837,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",27.958879281579314,0.03999963569521782,0.9686563860650071,0.9686563860650071,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside
1.0,0.0,0.0,0.0,0.0,0.0,49.45787390073141,0.0,0.0,82.6903434296449,31,0.9991037249565125,0.005239535588771105,0.007775411941111088,0.7775411941111088,0.8213820684523809,40.63188384006417,0.9940032958984375,0.9940032958984375,0.1398381143808365,0.9525659680366516,0.2625264525413513,0.28307557106018066,0.020549118518829346,0.28307557106018066,True,0.17861793154761904,0.8380284309387207,0.020549118518829346,0.10646275111607142,,,3.089907745873821,0.0,,0.4423696423696424,0.06389962136745453,0.06389962136745453,18.461357221531557,0.11938015513498458,7.840441703796387,a red apple inside a bowl,0.2781410813331604,0.2401370108127594,0.3009481728076935,0.02280709147453308,0.3009481728076935,"123,59,373,336",0.03460417687892914,0.00967826321721077,outputs/phase2_flux_paper_truecfg_full_20260617/bowl_apple_inside/dece_rf_flux/seed_11/masks/subject_final.png,run_mask,1.0,246.70494079589844,0.0,227.4371337890625,dece_rf_flux,dece_rf_flux,,0.005385544616729021,0.005385544616729021,39.326102070316864,0.010806744817618083,,outputs/phase2_flux_paper_truecfg_full_20260617/bowl_apple_inside/dece_rf_flux/seed_11/result.png,2.537435531616211,bowl_apple_inside/dece_rf_flux/seed_11,,11,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.011615111492574215,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",27.900512114340753,0.04026932910939132,0.9683964531989061,0.9683964531989061,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside
1.0,0.0,0.0,0.0,0.0,0.0,49.51855436960856,0.0,0.0,82.83623894055684,31,0.9991037249565125,0.005239535588771105,0.007775411941111088,0.7775411941111088,0.8213820684523809,40.63188384006417,0.9940032958984375,0.9940032958984375,0.15699028968811035,0.9489438533782959,0.26462680101394653,0.2887728810310364,0.024146080017089844,0.2887728810310364,True,0.17861793154761904,0.8437457084655762,0.024146080017089844,0.10646275111607142,,,3.1658606895114265,0.0,,0.44804804804804804,0.0632164403796196,0.0632164403796196,18.480217798653054,0.11912121380125827,7.9017438888549805,a red apple inside a bowl,0.2839290201663971,0.2510529160499573,0.3104580044746399,0.026528984308242798,0.3104580044746399,"123,59,373,336",0.03481946140527725,0.00967942550778389,outputs/phase2_flux_paper_truecfg_full_20260617/bowl_apple_inside/dece_rf_flux/seed_12/masks/subject_final.png,run_mask,1.0,244.86927795410156,0.0,227.7552490234375,dece_rf_flux,dece_rf_flux,,0.005382059141993523,0.005382059141993523,39.346533139505205,0.010781354916621844,,outputs/phase2_flux_paper_truecfg_full_20260617/bowl_apple_inside/dece_rf_flux/seed_12/result.png,2.495922803878784,bowl_apple_inside/dece_rf_flux/seed_12,,12,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.01153926644474268,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",27.919472765128678,0.04018152003547612,0.968546611745372,0.968546611745372,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside
1.0,0.0,0.0,0.0,0.0,0.0,45.21556683381399,0.0,0.0,73.20380290349324,31,0.9986748695373535,0.0021696940530091524,0.006033432204276323,0.6033432204276323,0.8476911272321429,47.26425078470095,0.9955997467041016,0.9955997467041016,0.2269212156534195,0.958899974822998,0.30416977405548096,0.30524691939353943,0.0010771453380584717,0.30524691939353943,True,0.15230887276785715,0.8255147337913513,0.0010771453380584717,0.07411993117559523,,,1.0093211956352481,0.0,,0.0,0.0688045471906662,0.0688045471906662,17.57871684012968,0.13214908426043642,5.887872695922852,a yellow lemon inside a wooden bowl,0.29174694418907166,0.3008113503456116,0.31884026527404785,0.027093321084976196,0.31884026527404785,"0,18,207,271",0.02442791312932968,0.007587581407278776,outputs/phase2_flux_paper_truecfg_full_20260617/brown_bowl_lemon_phase2/dece_rf_flux/seed_10/masks/subject_final.png,run_mask,1.0,204.85855102539062,0.0,186.27452087402344,dece_rf_flux,dece_rf_flux,,0.0025127457920461893,0.0025127457920461893,44.28593240532652,0.006105248979963061,,outputs/phase2_flux_paper_truecfg_full_20260617/brown_bowl_lemon_phase2/dece_rf_flux/seed_10/result.png,5.833497524261475,brown_bowl_lemon_phase2/dece_rf_flux/seed_10,,10,/cluster/users/grad/2025/25t8103/project/data/phase2_candidates/pexels_wooden_bowls_topdown_6962757.jpg,0.00742628937587142,A top-down photo of a small empty wooden bowl on a pale wooden table beside a larger wooden bowl and folded cloth.,28.765090331857294,0.036454024691808404,0.9798134478975525,0.9798134478975525,"A top-down photo of the same small wooden bowl on the same pale wooden table, with one small yellow lemon wedge centered inside the small bowl, while the bowls, table, folded cloth, lighting, and background remain unchanged.",brown_bowl_lemon_phase2
1.0,0.0,0.0,0.0,0.0,0.0,45.303460240364075,0.0,0.0,73.25123088558514,31,0.9987109303474426,0.002168484264984727,0.006014990620315075,0.6014990620315075,0.8476911272321429,47.32348340008613,0.9955971837043762,0.9955971837043762,0.22233366966247559,0.958430826663971,0.30583658814430237,0.3064146041870117,0.0005780160427093506,0.3064146041870117,True,0.15230887276785715,0.8291454315185547,0.0005780160427093506,0.07411993117559523,,,1.0034194466859716,0.0,,0.0,0.06920426338911057,0.06920426338911057,17.51576163235741,0.133110378507881,5.891981601715088,a yellow lemon inside a wooden bowl,0.28900206089019775,0.2980794310569763,0.31528550386428833,0.026283442974090576,0.31528550386428833,"0,18,207,271",0.024171626195311546,0.00747692259028554,outputs/phase2_flux_paper_truecfg_full_20260617/brown_bowl_lemon_phase2/dece_rf_flux/seed_11/masks/subject_final.png,run_mask,1.0,203.83985900878906,0.0,186.7289276123047,dece_rf_flux,dece_rf_flux,,0.002513566520065069,0.002513566520065069,44.32575007571681,0.006077325479604203,,outputs/phase2_flux_paper_truecfg_full_20260617/brown_bowl_lemon_phase2/dece_rf_flux/seed_11/result.png,5.871902942657471,brown_bowl_lemon_phase2/dece_rf_flux/seed_11,,11,/cluster/users/grad/2025/25t8103/project/data/phase2_candidates/pexels_wooden_bowls_topdown_6962757.jpg,0.007456676568835974,A top-down photo of a small empty wooden bowl on a pale wooden table beside a larger wooden bowl and folded cloth.,28.704773368335793,0.03670805143676299,0.9797625226035767,0.9797625226035767,"A top-down photo of the same small wooden bowl on the same pale wooden table, with one small yellow lemon wedge centered inside the small bowl, while the bowls, table, folded cloth, lighting, and background remain unchanged.",brown_bowl_lemon_phase2
1.0,0.0,0.0,0.0,0.0,0.0,45.45775330066681,0.0,0.0,73.2266615529855,31,0.998724639415741,0.0021643340587615967,0.006019593682140112,0.6019593682140112,0.8476911272321429,47.37131519282802,0.9956066012382507,0.9956066012382507,0.2290523499250412,0.9566425681114197,0.3057929277420044,0.30828648805618286,0.002493560314178467,0.30828648805618286,True,0.15230887276785715,0.8338345885276794,0.002493560314178467,0.07411993117559523,,,1.00785030891197,0.0,,0.0,0.06919749081134796,0.06919749081134796,17.529802288428403,0.1328953806941737,5.897500514984131,a yellow lemon inside a wooden bowl,0.29156574606895447,0.3042415380477905,0.31896623969078064,0.027400493621826172,0.31896623969078064,"0,18,207,271",0.02460620552301407,0.00756032345816493,outputs/phase2_flux_paper_truecfg_full_20260617/brown_bowl_lemon_phase2/dece_rf_flux/seed_12/masks/subject_final.png,run_mask,1.0,204.71363830566406,0.0,186.36558532714844,dece_rf_flux,dece_rf_flux,,0.0025088887196034193,0.0025088887196034193,44.314426567650884,0.006085253455142886,,outputs/phase2_flux_paper_truecfg_full_20260617/brown_bowl_lemon_phase2/dece_rf_flux/seed_12/result.png,5.851563930511475,brown_bowl_lemon_phase2/dece_rf_flux/seed_12,,12,/cluster/users/grad/2025/25t8103/project/data/phase2_candidates/pexels_wooden_bowls_topdown_6962757.jpg,0.007451843470335007,A top-down photo of a small empty wooden bowl on a pale wooden table beside a larger wooden bowl and folded cloth.,28.718169036743653,0.03665148268906557,0.9798003909084146,0.9798003909084146,"A top-down photo of the same small wooden bowl on the same pale wooden table, with one small yellow lemon wedge centered inside the small bowl, while the bowls, table, folded cloth, lighting, and background remain unchanged.",brown_bowl_lemon_phase2
1.0,0.0,0.0,0.0,0.0,0.0,28.228848099708557,0.0,0.0,93.74429109692574,31,0.9995321035385132,0.0034678590018302202,0.00510006956756115,0.510006956756115,0.8705880301339286,43.616385366239356,0.997359037399292,0.997359037399292,0.2940284013748169,0.9451438188552856,0.2208227515220642,0.28806862235069275,0.06724587082862854,0.28806862235069275,True,0.12941196986607142,0.9933360815048218,0.06724587082862854,0.09418596540178571,,,,0.0,,0.07041905819909894,0.02688189409673214,0.02688189409673214,22.61532515004541,0.07400034466265303,,a small golden crown on a cat's head,0.19657814502716064,0.26152682304382324,0.28064072132110596,0.08406257629394531,0.28064072132110596,"129,0,383,162",0.019121848046779633,0.005303260870277882,outputs/phase2_flux_paper_truecfg_full_20260617/cat_crown/dece_rf_flux/seed_10/masks/subject_final.png,run_mask,1.0,71.50238800048828,0.0,297.1571350097656,dece_rf_flux,dece_rf_flux,,0.0034189228899776936,0.0034189228899776936,43.706045627025574,0.006526761133165471,,outputs/phase2_flux_paper_truecfg_full_20260617/cat_crown/dece_rf_flux/seed_10/result.png,,cat_crown/dece_rf_flux/seed_10,,10,/cluster/users/grad/2025/25t8103/project/data/paper_images/cat_sitting_in_grass.jpg,0.005628805607557297,A photo of a cat sitting in grass.,32.562132796339675,0.023544710790051063,0.987566868213203,0.987566868213203,"A photo of the same cat sitting in the same grass, wearing a small golden crown centered on top of its head between the ears.",cat_crown
1.0,0.0,0.0,0.0,0.0,0.0,28.649967869122822,0.0,0.0,93.7347907324632,31,0.9995321035385132,0.0034678590018302202,0.00510006956756115,0.510006956756115,0.8705880301339286,43.616385366239356,0.997359037399292,0.997359037399292,0.29796847701072693,0.9383408427238464,0.21890781819820404,0.2917934060096741,0.07288558781147003,0.2917934060096741,True,0.12941196986607142,0.9933476448059082,0.07288558781147003,0.09418596540178571,,,,0.0,,0.06986360550515337,0.027351992204785347,0.027351992204785347,22.43127601730077,0.07558510124374795,,a small golden crown on a cat's head,0.19653764367103577,0.2693308889865875,0.2839074730873108,0.08736982941627502,0.2839074730873108,"129,0,383,162",0.019603215157985687,0.005303260870277882,outputs/phase2_flux_paper_truecfg_full_20260617/cat_crown/dece_rf_flux/seed_11/masks/subject_final.png,run_mask,1.0,71.55598449707031,0.0,297.3912353515625,dece_rf_flux,dece_rf_flux,,0.0034189228899776936,0.0034189228899776936,43.706045627025574,0.006526761133165471,,outputs/phase2_flux_paper_truecfg_full_20260617/cat_crown/dece_rf_flux/seed_11/result.png,,cat_crown/dece_rf_flux/seed_11,,11,/cluster/users/grad/2025/25t8103/project/data/paper_images/cat_sitting_in_grass.jpg,0.0056730820797383785,A photo of a cat sitting in grass.,32.39064450970262,0.024014180714388687,0.9875232660435408,0.9875232660435408,"A photo of the same cat sitting in the same grass, wearing a small golden crown centered on top of its head between the ears.",cat_crown
1.0,0.0,0.0,0.0,0.0,0.0,28.663673520088196,0.0,0.0,93.75285204748313,31,0.9995321035385132,0.0034678590018302202,0.00510006956756115,0.510006956756115,0.8705880301339286,43.616385366239356,0.997359037399292,0.997359037399292,0.2966213822364807,0.9440878033638,0.22008389234542847,0.28868693113327026,0.0686030387878418,0.28868693113327026,True,0.12941196986607142,0.993291974067688,0.0686030387878418,0.09418596540178571,,,,0.0,,0.06875270011726224,0.027359897270798683,0.027359897270798683,22.42895875684721,0.07560526886492051,,a small golden crown on a cat's head,0.1980527639389038,0.2670794725418091,0.2857361435890198,0.08768337965011597,0.2857361435890198,"129,0,383,162",0.019423384219408035,0.005303260870277882,outputs/phase2_flux_paper_truecfg_full_20260617/cat_crown/dece_rf_flux/seed_12/masks/subject_final.png,run_mask,1.0,71.24298858642578,0.0,297.00714111328125,dece_rf_flux,dece_rf_flux,,0.0034189228899776936,0.0034189228899776936,43.706045627025574,0.006526761133165471,,outputs/phase2_flux_paper_truecfg_full_20260617/cat_crown/dece_rf_flux/seed_12/result.png,,cat_crown/dece_rf_flux/seed_12,,12,/cluster/users/grad/2025/25t8103/project/data/paper_images/cat_sitting_in_grass.jpg,0.005673826672136784,A photo of a cat sitting in grass.,32.38848262799623,0.024020158487707853,0.9875111929755376,0.9875111929755376,"A photo of the same cat sitting in the same grass, wearing a small golden crown centered on top of its head between the ears.",cat_crown
1.0,0.0,0.0,0.0,0.0,0.0,34.643582582473755,0.0,0.0,93.67226533095042,31,0.9989501237869263,0.004890246782451868,0.014670558273792267,1.4670558273792267,0.8737909226190477,41.33429224970864,0.9940866827964783,0.9940866827964783,0.3173113167285919,0.9307859539985657,0.2487483024597168,0.32312825322151184,0.07437995076179504,0.32312825322151184,True,0.12620907738095238,0.9855239391326904,0.07437995076179504,0.07878185453869048,,,,0.0,,0.13207407953958533,0.026219021528959274,0.026219021528959274,21.904192638585602,0.0803138357452162,,a red bow tie on a dog's neck,0.23288500308990479,0.2875136733055115,0.3120500445365906,0.07916504144668579,0.3120500445365906,"58,101,262,310",0.02808239497244358,0.01810207962989807,outputs/phase2_flux_paper_truecfg_full_20260617/dog_bow_tie_phase2/dece_rf_flux/seed_10/masks/subject_final.png,run_mask,1.0,146.3876495361328,0.0,238.25196838378906,dece_rf_flux,dece_rf_flux,,0.005125002469867468,0.005125002469867468,39.158897619276686,0.011016791216749887,,outputs/phase2_flux_paper_truecfg_full_20260617/dog_bow_tie_phase2/dece_rf_flux/seed_10/result.png,,dog_bow_tie_phase2/dece_rf_flux/seed_10,,10,/cluster/users/grad/2025/25t8103/project/data/paper_images/dog_sitting_cc0.jpg,0.006786827929317951,A photo of a shaggy grey and white dog sitting in grass.,32.07625471959171,0.02489930723414029,0.9865179514596856,0.9865179514596856,"A photo of the same shaggy grey and white dog sitting in the same grass, wearing a small red bow tie attached at the front of its neck, while the dog, grass, pose, and background remain unchanged.",dog_bow_tie_phase2
