task,kind,target_color,target_color_ratio,mask_area,inside_l1,bg_l1,bg_psnr,mask_path,source
green_mug_orange_phase2,old_flux,orange,0.6904220973334928,0.04861304873511905,0.2055143415927887,0.00019964828970842063,59.322803497867824,outputs/pretty_matrix/green_mug_orange_phase2/support_v3_controller_rmsgap/seed_10/masks/semantic_support.png,data/pretty_free_candidates/pexels_green_mug_marble_7828522.jpg
green_mug_orange_phase2,probe_flux,orange,1.0,0.04861304873511905,0.2684190273284912,0.00019964828970842063,59.322803497867824,outputs/pretty_matrix/green_mug_orange_phase2/support_v3_controller_rmsgap/seed_10/masks/semantic_support.png,data/pretty_free_candidates/pexels_green_mug_marble_7828522.jpg
green_mug_orange_phase2,sd3,orange,0.9202632714717307,0.053873697916666664,0.3564011752605438,0.0034550130367279053,41.072154397109976,outputs/pretty_matrix/green_mug_orange_phase2/support_v3_controller_rmsgap_t1t4_3seed_20260609/seed_10/masks/surface_refined_mask.png,data/pretty_free_candidates/pexels_green_mug_marble_7828522.jpg
red_office_chair_to_blue_office_chair,old_flux,blue,0.9066589618953738,0.1632357510653409,0.2597866654396057,0.003587233368307352,43.46797767019331,outputs/pretty_matrix/red_office_chair_to_blue_office_chair/support_v3_controller_rmsgap/seed_10/masks/semantic_support.png,data/pretty_free_candidates/unsplash_red_office_chair_concrete_lvVWRzm_NwY.jpg
red_office_chair_to_blue_office_chair,probe_flux,blue,0.6552568068255209,0.1632357510653409,0.3051305115222931,0.003587233368307352,43.46797767019331,outputs/pretty_matrix/red_office_chair_to_blue_office_chair/support_v3_controller_rmsgap/seed_10/masks/semantic_support.png,data/pretty_free_candidates/unsplash_red_office_chair_concrete_lvVWRzm_NwY.jpg
red_office_chair_to_blue_office_chair,sd3,blue,0.989387552690305,0.11188853870738637,0.432303249835968,0.04307553544640541,21.88120284255269,outputs/pretty_matrix/red_office_chair_to_blue_office_chair/support_v3_controller_rmsgap_t1t4_3seed_20260609/seed_10/masks/recolor_source_color_mask.png,data/pretty_free_candidates/unsplash_red_office_chair_concrete_lvVWRzm_NwY.jpg
yellow_vase_blue_phase2,old_flux,blue,0.8176803495952432,0.08114188058035714,0.3351019322872162,0.0007350368541665375,54.457385205476356,outputs/pretty_matrix/yellow_vase_blue_phase2/support_v3_controller_rmsgap/seed_10/masks/semantic_support.png,data/pretty_free_candidates/pexels_yellow_ceramic_vase_8356822.jpg
yellow_vase_blue_phase2,probe_flux,blue,0.9179740669102371,0.08114188058035714,0.4596302807331085,0.0007350368541665375,54.457385205476356,outputs/pretty_matrix/yellow_vase_blue_phase2/support_v3_controller_rmsgap/seed_10/masks/semantic_support.png,data/pretty_free_candidates/pexels_yellow_ceramic_vase_8356822.jpg
yellow_vase_blue_phase2,sd3,blue,0.8574004808976756,0.08703031994047619,0.3116835951805115,0.014280221424996853,29.347596308070294,outputs/pretty_matrix/yellow_vase_blue_phase2/support_v3_controller_rmsgap_t1t4_3seed_20260609/seed_10/masks/surface_refined_mask.png,data/pretty_free_candidates/pexels_yellow_ceramic_vase_8356822.jpg
cat_crown,old_flux,gold,0.017695099818511795,0.02562313988095238,0.061388082802295685,0.0033980931621044874,43.686251349000656,outputs/phase2_dece_flux_custom_masks_20260616/cat_crown_head.png,data/paper_images/cat_sitting_in_grass.jpg
cat_crown,probe_flux,gold,0.01701451905626134,0.02562313988095238,0.07701801508665085,0.0033980931621044874,43.686251349000656,outputs/phase2_dece_flux_custom_masks_20260616/cat_crown_head.png,data/paper_images/cat_sitting_in_grass.jpg
cat_crown,sd3,gold,0.0,0.05937848772321429,0.06643210351467133,0.05423183739185333,19.92185587919737,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_t1t4_3seed_20260609/seed_10/masks/semantic_support.png,data/paper_images/cat_sitting_in_grass.jpg
mug_heart,old_flux,red,0.11657072368421052,0.028273809523809524,0.09101065248250961,0.0004847102100029588,56.976242436751996,outputs/phase2_dece_flux_custom_masks_20260616/mug_heart_center.png,data/pretty_free_candidates/pexels_white_mug_6312107.jpg
mug_heart,probe_flux,red,0.13466282894736842,0.028273809523809524,0.10717959702014923,0.0004847102100029588,56.976242436751996,outputs/phase2_dece_flux_custom_masks_20260616/mug_heart_center.png,data/pretty_free_candidates/pexels_white_mug_6312107.jpg
mug_heart,sd3,red,0.05122419045469931,0.20607793898809523,0.04141554236412048,0.00426720455288887,44.92774880045331,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap_mugbox145_c180/seed_10/masks/semantic_support.png,data/pretty_free_candidates/pexels_white_mug_6312107.jpg
tote_leaf,old_flux,green,0.16563510074960458,0.16904994419642858,0.120235376060009,0.000811722653452307,51.990417449231494,outputs/pretty_matrix/tote_leaf/support_v3_controller_rmsgap/seed_10/masks/semantic_support.png,data/pretty_free_candidates/pexels_white_tote_bag_4068314.jpg
tote_leaf,probe_flux,green,0.19892029434014166,0.16904994419642858,0.16125506162643433,0.000811722653452307,51.990417449231494,outputs/pretty_matrix/tote_leaf/support_v3_controller_rmsgap/seed_10/masks/semantic_support.png,data/pretty_free_candidates/pexels_white_tote_bag_4068314.jpg
tote_leaf,sd3,green,0.11890516470669142,0.16904994419642858,0.06630177795886993,0.013707912527024746,28.490835333797794,outputs/pretty_matrix/tote_leaf/support_v3_controller_rmsgap_t1t4_3seed_20260609/seed_10/masks/semantic_support.png,data/pretty_free_candidates/pexels_white_tote_bag_4068314.jpg
