task,kind,target_color,target_color_ratio,mask_area,inside_l1,bg_l1,bg_psnr
green_mug_orange_phase2,old_flux,orange,0.9269903273809523,1.0,0.010229204781353474,0,0
green_mug_orange_phase2,probe_flux,orange,0.7072896471500582,0.14991396949404762,0.07066188752651215,0.00012277155474293977,62.52801372130328
green_mug_orange_phase2,sd3,orange,0.9122961657117673,0.05275762648809524,0.3548106849193573,0.0034548789262771606,41.051686199862665
red_office_chair_to_blue_office_chair,old_flux,blue,0.14983021129261365,1.0,0.04568873345851898,0,0
red_office_chair_to_blue_office_chair,probe_flux,blue,0.3612143180788401,0.42860551313920453,0.10840556025505066,0.003432500408962369,43.87135888437217
red_office_chair_to_blue_office_chair,sd3,blue,0.9821340683138104,0.11273748224431818,0.4264862537384033,0.04310126230120659,21.87951439037096
cat_crown,old_flux,gold,0.011143275669642858,1.0,0.004896040074527264,0,0
cat_crown,probe_flux,gold,0.004379050621825188,0.09955705915178571,0.023005912080407143,0.00348042999394238,43.59466197521027
cat_crown,sd3,gold,0.2952989502510269,0.025472005208333332,0.15640276670455933,0.053684741258621216,20.162839984463044
mug_heart,old_flux,red,0.0032958984375,1.0,0.00305273849517107,0,0
mug_heart,probe_flux,red,0.03304575954795419,0.11521693638392858,0.027032004669308662,0.000473720341688022,57.084056938465196
mug_heart,sd3,red,0.23436460412508317,0.034946986607142856,0.13738928735256195,0.006547924596816301,34.459426074054875
tote_leaf,old_flux,green,0.20026506696428573,1.0,0.02124718949198723,0,0
tote_leaf,probe_flux,green,0.14029244939376595,0.33511788504464285,0.08169523626565933,0.0011751889251172543,47.27636212450967
tote_leaf,sd3,green,0.3268844781445138,0.10425967261904762,0.08253879100084305,0.01842556893825531,24.274919410413712
