task,kind,target_color,mask_area,target_color_ratio
red_office_chair_to_blue_office_chair,flux,blue,0.1632357510653409,0.9066589618953738
red_office_chair_to_blue_office_chair,sd3,blue,0.11273748224431818,0.9821340683138104
yellow_vase_blue_phase2,flux,blue,0.08114188058035714,0.8176803495952432
yellow_vase_blue_phase2,sd3,blue,0.08610026041666667,0.865649473399946
green_mug_orange_phase2,flux,orange,0.04861304873511905,0.6904220973334928
green_mug_orange_phase2,sd3,orange,0.05275762648809524,0.9122961657117673
white_bowl_orange_tabletop_phase2,flux,orange,0.1505185081845238,0.9525758863057079
white_bowl_orange_tabletop_phase2,sd3,orange,0.0157470703125,1.0
brown_bowl_lemon_phase2,flux,yellow,0.06154668898809524,0.36616924820551566
brown_bowl_lemon_phase2,sd3,yellow,0.04603794642857143,0.30176767676767674
bowl_apple_inside,flux,red,0.07176571800595238,0.11744694637939414
bowl_apple_inside,sd3,red,0.06596447172619048,0.20690870637997885
tshirt_star,flux,red,0.3319673084077381,0.1652278975292861
tshirt_star,sd3,red,0.058826264880952384,0.15533596837944663
mug_heart,flux,red,0.028273809523809524,0.11657072368421052
mug_heart,sd3,red,0.034946986607142856,0.23436460412508317
dog_bow_tie_phase2,flux,red,0.028227306547619048,0.2602965403624382
dog_bow_tie_phase2,sd3,red,0.08901832217261904,0.11747420660833224
cat_crown,flux,gold,0.02562313988095238,0.017695099818511795
cat_crown,sd3,gold,0.025472005208333332,0.2952989502510269
tote_leaf,flux,green,0.16904994419642858,0.16563510074960458
tote_leaf,sd3,green,0.10425967261904762,0.3268844781445138
dog_front_sunglasses_phase2,flux,black,0.07720121444176159,0.8616991018965909
dog_front_sunglasses_phase2,sd3,black,0.27086498119212965,0.3055866201532273
