"family","family_index","task","origin"
"T1_attached_accessory","1","cat_crown","locked_15"
"T1_attached_accessory","2","dog_bow_tie_phase2","locked_15"
"T1_attached_accessory","3","dog_front_sunglasses_phase2","locked_15"
"T1_attached_accessory","4","web_woman_black_sunglasses","new_web"
"T1_attached_accessory","5","web_cat_collar_bell","new_web"
"T2_container_insertion","1","bowl_apple_inside","locked_15"
"T2_container_insertion","2","white_bowl_orange_tabletop_phase2","locked_15"
"T2_container_insertion","3","brown_bowl_lemon_phase2","locked_15"
"T2_container_insertion","4","web_plate_red_apple","new_web"
"T2_container_insertion","5","web_wicker_basket_apples","new_web"
"T3_surface_decal","1","tshirt_star","locked_15"
"T3_surface_decal","2","mug_heart","locked_15"
"T3_surface_decal","3","tote_leaf","locked_15"
"T3_surface_decal","4","web_mug_red_heart_decal","new_web"
"T3_surface_decal","5","web_notebook_heart_sticker","new_web"
"T4_local_recolor","1","red_office_chair_to_blue_office_chair","locked_15"
"T4_local_recolor","2","green_mug_orange_phase2","locked_15"
"T4_local_recolor","3","yellow_vase_blue_phase2","locked_15"
"T4_local_recolor","4","web_red_suitcase_to_blue","new_web"
"T4_local_recolor","5","web_orange_handbag_to_blue","new_web"
"T5_same_color_material","1","pillow_same_color_cable_knit","locked_15"
"T5_same_color_material","2","pillow_same_color_cable_knit_grey","locked_15"
"T5_same_color_material","3","pillow_same_color_cable_knit_armchair","locked_15"
"T5_same_color_material","4","web_gray_hoodie_quilted_panel","new_web"
"T5_same_color_material","5","web_white_shirt_lace_panel","new_web"
