family,method,method_display,n,edit_correct_1_5_mean,relation_correct_1_5_mean,source_preservation_1_5_mean,locality_1_5_mean,artifact_severity_1_5_mean,overall_1_5_mean,failure_type_counts
T1_attached_accessory,adaptive_full_generic_support,Generic support control,27,1.333,1.333,3.667,4.000,2.333,3.000,under_edit:27
T1_attached_accessory,base_only,RF reconstruction / base reconstruction,27,1.000,1.000,3.333,3.667,3.000,2.444,under_edit:27
T1_attached_accessory,direct_target,Direct target guidance,27,1.667,1.667,1.000,1.667,4.778,1.333,identity_drift:9;under_edit:18
T1_attached_accessory,support_v3_controller_rmsgap,CleanEdit,27,5.000,5.000,4.333,4.000,2.333,5.000,none:27
T2_container_insertion,adaptive_full_generic_support,Generic support control,27,2.889,2.889,3.778,4.333,2.000,3.407,identity_drift:3;under_edit:24
T2_container_insertion,base_only,RF reconstruction / base reconstruction,27,1.000,1.000,4.444,4.333,2.000,2.889,under_edit:27
T2_container_insertion,direct_target,Direct target guidance,27,1.444,1.444,1.000,1.556,4.630,1.333,under_edit:27
T2_container_insertion,support_v3_controller_rmsgap,CleanEdit,27,3.556,3.556,4.556,4.667,1.667,4.296,none:27
T3_surface_decal,adaptive_full_generic_support,Generic support control,27,1.000,1.000,4.889,4.667,2.000,3.333,under_edit:27
T3_surface_decal,base_only,RF reconstruction / base reconstruction,27,1.000,1.000,4.889,4.667,1.333,3.222,under_edit:27
T3_surface_decal,direct_target,Direct target guidance,27,1.667,1.667,2.000,2.000,4.000,2.000,under_edit:27
T3_surface_decal,support_v3_controller_rmsgap,CleanEdit,27,5.000,5.000,4.889,5.000,1.667,5.000,none:27
T4_local_recolor,adaptive_full_generic_support,Generic support control,27,3.333,3.333,4.556,4.667,1.667,4.222,under_edit:27
T4_local_recolor,base_only,RF reconstruction / base reconstruction,27,1.000,1.000,4.667,4.333,1.667,3.000,under_edit:27
T4_local_recolor,direct_target,Direct target guidance,27,2.000,2.000,1.222,2.000,4.556,1.778,under_edit:27
T4_local_recolor,support_v3_controller_rmsgap,CleanEdit,27,4.222,4.222,5.000,4.667,1.333,4.926,none:27
T5_same_color_material,adaptive_full_generic_support,Generic support control,27,1.667,1.667,4.889,5.000,2.333,3.667,under_edit:27
T5_same_color_material,base_only,RF reconstruction / base reconstruction,27,1.000,1.000,3.333,4.333,2.333,2.667,under_edit:27
T5_same_color_material,direct_target,Direct target guidance,27,2.000,2.000,1.000,1.333,5.000,1.000,under_edit:27
T5_same_color_material,support_v3_controller_rmsgap,CleanEdit,27,2.333,2.333,5.000,5.000,1.333,4.111,none:9;under_edit:18
