family,task,method,method_display,n,edit_correct_1_5_mean,relation_correct_1_5_mean,source_preservation_1_5_mean,locality_1_5_mean,artifact_severity_1_5_mean,overall_1_5_mean,failure_type_counts
T1_attached_accessory,cat_crown,adaptive_full_generic_support,Generic support control,9,1.000,1.000,3.667,4.000,2.333,3.000,under_edit:9
T1_attached_accessory,cat_crown,base_only,RF reconstruction / base reconstruction,9,1.000,1.000,3.667,4.000,3.333,2.333,under_edit:9
T1_attached_accessory,cat_crown,direct_target,Direct target guidance,9,1.000,1.000,1.000,1.000,5.000,1.000,under_edit:9
T1_attached_accessory,cat_crown,support_v3_controller_rmsgap,CleanEdit,9,5.000,5.000,4.667,4.000,2.333,5.000,none:9
T1_attached_accessory,dog_bow_tie_phase2,adaptive_full_generic_support,Generic support control,9,2.000,2.000,3.667,4.000,2.333,3.000,under_edit:9
T1_attached_accessory,dog_bow_tie_phase2,base_only,RF reconstruction / base reconstruction,9,1.000,1.000,3.667,4.000,2.333,3.000,under_edit:9
T1_attached_accessory,dog_bow_tie_phase2,direct_target,Direct target guidance,9,3.000,3.000,1.000,2.000,5.000,2.000,identity_drift:9
T1_attached_accessory,dog_bow_tie_phase2,support_v3_controller_rmsgap,CleanEdit,9,5.000,5.000,3.667,4.000,2.333,5.000,none:9
T1_attached_accessory,dog_front_sunglasses_phase2,adaptive_full_generic_support,Generic support control,9,1.000,1.000,3.667,4.000,2.333,3.000,under_edit:9
T1_attached_accessory,dog_front_sunglasses_phase2,base_only,RF reconstruction / base reconstruction,9,1.000,1.000,2.667,3.000,3.333,2.000,under_edit:9
T1_attached_accessory,dog_front_sunglasses_phase2,direct_target,Direct target guidance,9,1.000,1.000,1.000,2.000,4.333,1.000,under_edit:9
T1_attached_accessory,dog_front_sunglasses_phase2,support_v3_controller_rmsgap,CleanEdit,9,5.000,5.000,4.667,4.000,2.333,5.000,none:9
T2_container_insertion,bowl_apple_inside,adaptive_full_generic_support,Generic support control,9,3.000,3.000,2.667,4.000,2.333,3.000,identity_drift:3;under_edit:6
