family,method,label,n,task_success_true,task_success_denominator,outside_l1,inside_l1,source_ssim_luma,dino_source,edit_score,clip_delta,runtime_s,peak_mem_gb
T1_attached_accessory,base_only,RF reconstruction,9,,,0.0848,0.0843,0.8204,,,,40.7852,12.2286
T1_attached_accessory,direct_target,Direct target,9,,,0.0947,0.1364,0.4277,0.5683,-0.0034,-0.0034,40.6132,12.2286
T1_attached_accessory,adaptive_full_generic_support,Generic support,9,,,0.0582,0.0490,0.5339,0.8935,-0.0190,-0.0190,52.4832,13.0952
T1_attached_accessory,support_v3_controller_rmsgap,DeCE-RF-SD3,9,,,0.0568,0.1353,0.8715,0.9248,0.0718,0.0718,59.8137,13.7221
T2_container_insertion,base_only,RF reconstruction,9,,,0.0484,0.0427,0.8837,,,,26.5507,12.2676
T2_container_insertion,direct_target,Direct target,9,,,0.0733,0.0769,0.5984,0.4896,0.0112,0.0112,28.0428,12.2676
T2_container_insertion,adaptive_full_generic_support,Generic support,9,,,0.0388,0.0779,0.7132,0.7830,0.0164,0.0164,45.5342,13.4186
T2_container_insertion,support_v3_controller_rmsgap,DeCE-RF-SD3,9,,,0.0341,0.0907,0.9141,0.8278,0.0042,0.0042,54.8797,12.9979
T3_surface_decal,base_only,RF reconstruction,9,,,0.0256,0.0222,0.9365,,,,43.1275,12.2466
T3_surface_decal,direct_target,Direct target,9,,,0.0467,0.0830,0.8277,0.7506,0.0008,0.0008,44.6572,12.2466
T3_surface_decal,adaptive_full_generic_support,Generic support,9,,,0.0239,0.0195,0.8828,0.9567,-0.0175,-0.0175,61.2586,12.9865
T3_surface_decal,support_v3_controller_rmsgap,DeCE-RF-SD3,9,,,0.0168,0.0960,0.8984,0.7682,0.0639,0.0639,62.0091,13.2046
T4_local_recolor,base_only,RF reconstruction,9,,,0.0427,0.0690,0.9025,,,,18.6843,12.2288
T4_local_recolor,direct_target,Direct target,9,,,0.0596,0.1290,0.7407,0.7330,0.0192,0.0192,18.7449,12.2288
T4_local_recolor,adaptive_full_generic_support,Generic support,9,,,0.0297,0.3855,0.8290,0.9220,0.0352,0.0352,37.9108,13.4671
T4_local_recolor,support_v3_controller_rmsgap,DeCE-RF-SD3,9,,,0.0297,0.3868,0.9736,0.9173,0.0328,0.0328,46.2214,13.4681
T5_same_color_material,base_only,RF reconstruction,9,,,0.0422,0.0388,0.7208,0.6998,0.0065,0.0065,27.4843,12.2243
T5_same_color_material,direct_target,Direct target,9,,,0.0904,0.1724,0.5645,0.4969,0.0201,0.0201,28.3312,12.2243
T5_same_color_material,adaptive_full_generic_support,Generic support,9,,,0.0249,0.0236,0.7761,0.9438,-0.0021,-0.0021,53.7359,13.2967
T5_same_color_material,support_v3_controller_rmsgap,DeCE-RF-SD3,9,,,0.0024,0.0252,0.9694,0.9827,-0.0065,-0.0065,61.5284,13.3738
