family,task,task_label,seed,method,method_display,selected_run,selected_result_image,selected_source_image,selection_reason,metric_status,metric_note,metric_file,metric_result_image
T1_attached_accessory,cat_crown,Cat crown,10,base_only,RF recon,base_only,outputs/pretty_matrix/cat_crown/base_only/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,canonical method directory,aligned,selected image matches metric row result_image,experiments/support_v3_2026-06-02/phase2_internal_bg_metrics.csv,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/base_only/seed_10/result.png
T1_attached_accessory,cat_crown,Cat crown,10,direct_target,Direct target,direct_target,outputs/pretty_matrix/cat_crown/direct_target/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,canonical method directory,aligned,selected image matches metric row result_image,experiments/support_v3_2026-06-02/phase2_internal_bg_metrics.csv,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/direct_target/seed_10/result.png
T1_attached_accessory,cat_crown,Cat crown,10,adaptive_full_generic_support,Generic support,adaptive_full_generic_support,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,canonical method directory,aligned,selected image matches metric row result_image,experiments/support_v3_2026-06-02/phase2_internal_bg_metrics.csv,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_10/result.png
T1_attached_accessory,cat_crown,Cat crown,10,flowedit,FlowEdit,flowedit,outputs/e2_t1_t4_baseline_matrix/cat_crown/flowedit/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,canonical method directory,aligned,selected image matches metric row result_image,experiments/support_v3_2026-06-02/e2_t1_t4_baseline_fixed_mask_metrics.csv,/cluster/users/grad/2025/25t8103/project/outputs/e2_t1_t4_baseline_matrix/cat_crown/flowedit/seed_10/result.png
T1_attached_accessory,cat_crown,Cat crown,10,splitflow,SplitFlow,splitflow,outputs/e2_t1_t4_baseline_matrix/cat_crown/splitflow/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,canonical method directory,aligned,selected image matches metric row result_image,experiments/support_v3_2026-06-02/e2_t1_t4_baseline_fixed_mask_metrics.csv,/cluster/users/grad/2025/25t8103/project/outputs/e2_t1_t4_baseline_matrix/cat_crown/splitflow/seed_10/result.png
T1_attached_accessory,cat_crown,Cat crown,10,sam_flow_sd3,Sam-Flow-SD3,sam_flow_sd3,outputs/e2_t1_t4_baseline_matrix/cat_crown/sam_flow_sd3/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,canonical method directory,aligned,selected image matches metric row result_image,experiments/support_v3_2026-06-02/e2_t1_t4_baseline_fixed_mask_metrics.csv,/cluster/users/grad/2025/25t8103/project/outputs/e2_t1_t4_baseline_matrix/cat_crown/sam_flow_sd3/seed_10/result.png
T1_attached_accessory,cat_crown,Cat crown,10,fireflow,FireFlow,fireflow,outputs/e2_t1_t4_baseline_matrix/cat_crown/fireflow/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,canonical method directory,aligned,selected image matches metric row result_image,experiments/support_v3_2026-06-02/e2_t1_t4_baseline_fixed_mask_metrics.csv,/cluster/users/grad/2025/25t8103/project/outputs/e2_t1_t4_baseline_matrix/cat_crown/fireflow/seed_10/result.png
T1_attached_accessory,cat_crown,Cat crown,10,rf_solver_edit,RF-Solver-Edit,rf_solver_edit,outputs/e2_t1_t4_baseline_matrix/cat_crown/rf_solver_edit/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,canonical method directory,aligned,selected image matches metric row result_image,experiments/support_v3_2026-06-02/e2_t1_t4_baseline_fixed_mask_metrics.csv,/cluster/users/grad/2025/25t8103/project/outputs/e2_t1_t4_baseline_matrix/cat_crown/rf_solver_edit/seed_10/result.png
T1_attached_accessory,cat_crown,Cat crown,10,reflex,ReFlex,reflex,outputs/e2_t1_t4_baseline_matrix/cat_crown/reflex/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,canonical method directory,aligned,selected image matches metric row result_image,experiments/support_v3_2026-06-02/e2_t1_t4_baseline_fixed_mask_metrics.csv,/cluster/users/grad/2025/25t8103/project/outputs/e2_t1_t4_baseline_matrix/cat_crown/reflex/seed_10/result.png
T1_attached_accessory,cat_crown,Cat crown,10,sam_flow_flux,Sam-Flow-FLUX,sam_flow_flux,outputs/e2_t1_t4_baseline_matrix/cat_crown/sam_flow_flux/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/sources/cat_crown.png,canonical method directory,aligned,selected image matches metric row result_image,experiments/support_v3_2026-06-02/e2_t1_t4_baseline_fixed_mask_metrics.csv,/cluster/users/grad/2025/25t8103/project/outputs/e2_t1_t4_baseline_matrix/cat_crown/sam_flow_flux/seed_10/result.png
