family,method,label,n,task_success_true,task_success_denominator,outside_l1,bg_psnr,bg_lpips_x100,bg_ssim_luma,source_ssim_luma,dino_source,bg_dino_source,clip_t,local_clip_t,edit_score,clip_delta,inside_l1,runtime_s,peak_mem_gb
T1_attached_accessory,base_only,RF reconstruction,9,,,0.0848,18.4756,37.4090,0.4626,0.4443,0.5392,0.6134,0.2345,0.1934,-0.0298,-0.0298,0.0843,40.7852,12.2286
T1_attached_accessory,direct_target,Direct target,9,,,0.0947,17.4866,36.7040,0.4499,0.4277,0.5683,0.6656,0.2524,0.2301,-0.0034,-0.0034,0.1364,40.6132,12.2286
T1_attached_accessory,adaptive_full_generic_support,Generic support,9,,,0.0582,20.3301,10.5314,0.5469,0.5339,0.8935,0.8991,0.2365,0.1974,-0.0190,-0.0190,0.0490,52.4832,13.0952
T1_attached_accessory,support_v3_controller_rmsgap,CleanEdit-SD3,9,,,0.0566,20.8845,8.0624,0.5501,0.5246,0.9230,0.9792,0.2849,0.2887,0.0686,0.0686,0.1333,56.1447,13.7505
T2_container_insertion,base_only,RF reconstruction,9,,,0.0484,22.5738,31.4355,0.6603,0.6656,0.6312,0.6768,0.2469,0.1856,-0.0196,-0.0196,0.0427,26.5507,12.2676
T2_container_insertion,direct_target,Direct target,9,,,0.0733,18.6271,45.3977,0.5976,0.5984,0.4896,0.5186,0.2833,0.1910,0.0112,0.0112,0.0769,28.0428,12.2676
T2_container_insertion,adaptive_full_generic_support,Generic support,9,,,0.0388,22.7034,10.5449,0.7171,0.7132,0.7830,0.8582,0.2860,0.2531,0.0164,0.0164,0.0779,45.5342,13.4186
T2_container_insertion,support_v3_controller_rmsgap,CleanEdit-SD3,9,,,0.0358,23.1665,9.0453,0.7296,0.7229,0.7071,0.8200,0.2910,0.2612,0.0246,0.0246,0.0902,34.7377,13.3893
T3_surface_decal,base_only,RF reconstruction,9,,,0.0256,25.9382,15.6148,0.8821,0.8808,0.8716,0.8396,0.2815,0.2143,-0.0319,-0.0319,0.0222,43.1275,12.2466
T3_surface_decal,direct_target,Direct target,9,,,0.0467,20.3145,24.1948,0.8378,0.8277,0.7506,0.7430,0.2823,0.2567,0.0008,0.0008,0.0830,44.6572,12.2466
T3_surface_decal,adaptive_full_generic_support,Generic support,9,,,0.0239,25.4575,6.5656,0.8836,0.8828,0.9567,0.9538,0.2812,0.2100,-0.0175,-0.0175,0.0195,61.2586,12.9865
T3_surface_decal,support_v3_controller_rmsgap,CleanEdit-SD3,9,,,0.0164,27.5771,3.9720,0.9061,0.8939,0.7778,0.9420,0.2834,0.2980,0.0647,0.0647,0.1234,68.2362,12.9763
T4_local_recolor,base_only,RF reconstruction,9,,,0.0427,24.5430,25.0587,0.7730,0.7672,0.7508,0.7484,0.2650,0.2084,-0.0146,-0.0146,0.0690,18.6843,12.2288
T4_local_recolor,direct_target,Direct target,9,,,0.0596,20.6336,27.0351,0.7577,0.7407,0.7330,0.7601,0.2915,0.2246,0.0192,0.0192,0.1290,18.7449,12.2288
T4_local_recolor,adaptive_full_generic_support,Generic support,9,,,0.0297,27.6107,5.8230,0.8184,0.8290,0.9220,0.9510,0.2866,0.2876,0.0352,0.0352,0.3855,37.9108,13.4671
T4_local_recolor,support_v3_controller_rmsgap,CleanEdit-SD3,9,,,0.0295,27.8103,5.5689,0.8184,0.8261,0.9190,0.9468,0.2873,0.2865,0.0382,0.0382,0.3935,38.5672,13.4685
T5_same_color_material,base_only,RF reconstruction,9,,,0.0422,24.1617,30.2114,0.7195,0.7208,0.6998,0.7203,0.2525,0.2417,0.0065,0.0065,0.0388,27.4843,12.2243
T5_same_color_material,direct_target,Direct target,9,,,0.0904,17.2053,44.0850,0.6063,0.5645,0.4969,0.5466,0.2857,0.2540,0.0201,0.0201,0.1724,28.3312,12.2243
T5_same_color_material,adaptive_full_generic_support,Generic support,9,,,0.0249,25.3122,11.3807,0.7787,0.7761,0.9438,0.9449,0.2461,0.2428,-0.0021,-0.0021,0.0236,53.7359,13.2967
T5_same_color_material,support_v3_controller_rmsgap,CleanEdit-SD3,9,,,0.0024,44.8166,0.5863,0.9936,0.9694,0.9827,0.9970,0.2473,0.2631,-0.0065,-0.0065,0.0252,61.5284,13.3738
