task,method,source_color,target_color,toward_target,de_improve
fe_000_bear_1_black_bear,ours_flux_plain,brown,black,3.3878723298176867,0.9078337098872318
fe_000_bear_1_black_bear,ours_flux_texture,brown,black,3.4732442563284334,1.303042364284412
fe_000_bear_1_black_bear,ours_sd3_plain,brown,black,3.564262897320363,2.4923123258658038
fe_000_bear_1_black_bear,ours_sd3_texture,brown,black,5.98535215573999,4.427856915378619
fe_004_bear_grass_1_black_bear,ours_flux_plain,brown,black,3.6009005894419563,2.9162494717378564
fe_004_bear_grass_1_black_bear,ours_flux_texture,brown,black,5.502509508244748,4.051436880298851
fe_004_bear_grass_1_black_bear,ours_sd3_plain,brown,black,7.304562430693236,8.220660880455121
fe_004_bear_grass_1_black_bear,ours_sd3_texture,brown,black,11.123342883132219,12.733468352201264
fe_015_bikes_5_green_bicycle,ours_flux_plain,red,green,5.1899254102855314,4.8902200456355445
fe_015_bikes_5_green_bicycle,ours_flux_texture,red,green,17.48990897578953,16.401888092487894
fe_015_bikes_5_green_bicycle,ours_sd3_plain,red,green,25.316265069522,22.016178586447495
fe_015_bikes_5_green_bicycle,ours_sd3_texture,red,green,40.35889279023797,33.705032276824554
fe_016_bikes_6_yellow_bicycle,ours_flux_plain,red,yellow,3.3631361093017165,2.529256494762734
fe_016_bikes_6_yellow_bicycle,ours_flux_texture,red,yellow,7.653166652287798,7.818528266183293
fe_016_bikes_6_yellow_bicycle,ours_sd3_plain,red,yellow,13.58023112772049,13.273343912738227
fe_016_bikes_6_yellow_bicycle,ours_sd3_texture,red,yellow,23.507156438404913,21.794399269656466
fe_019_brown_owl_1_white_owl,ours_flux_plain,brown,white,4.968578890272514,5.208790667645296
fe_019_brown_owl_1_white_owl,ours_flux_texture,brown,white,3.3706102823548707,3.566150585364653
fe_019_brown_owl_1_white_owl,ours_sd3_plain,brown,white,1.1921627591198154,1.2984392213682838
fe_019_brown_owl_1_white_owl,ours_sd3_texture,brown,white,1.2987838392564741,1.1805211958068185
fe_025_bus_3_pink_van,ours_flux_plain,yellow,pink,8.126361229541958,6.5368430402242765
fe_025_bus_3_pink_van,ours_flux_texture,yellow,pink,8.126361229541958,6.5368430402242765
fe_025_bus_3_pink_van,ours_sd3_plain,yellow,pink,11.757370541221437,10.386143908857221
fe_025_bus_3_pink_van,ours_sd3_texture,yellow,pink,13.641342663275761,14.503562237775988
fe_027_butterflies_1_yellow,ours_flux_plain,black,yellow,7.043132450654555,7.986873206536558
fe_027_butterflies_1_yellow,ours_flux_texture,black,yellow,10.276015797530194,11.805527297853928
fe_027_butterflies_1_yellow,ours_sd3_plain,black,yellow,8.53045460174215,11.003157365393221
fe_027_butterflies_1_yellow,ours_sd3_texture,black,yellow,15.469173373200585,18.373973591629948
fe_028_butterfly_1_orange_butterfly,ours_flux_plain,black,orange,5.43219148516992,6.986690114326194
fe_028_butterfly_1_orange_butterfly,ours_flux_texture,black,orange,9.788522599671856,10.473052471954688
fe_028_butterfly_1_orange_butterfly,ours_sd3_plain,black,orange,3.5209315258751603,5.574780842406582
fe_028_butterfly_1_orange_butterfly,ours_sd3_texture,black,orange,5.497194032100565,6.319761989237463
fe_067_cat_stone_1_black_kitten,ours_flux_plain,gray,black,2.00668061007598,2.083165318859031
fe_067_cat_stone_1_black_kitten,ours_flux_texture,gray,black,0.9300037490781158,1.0546416919538864
fe_067_cat_stone_1_black_kitten,ours_sd3_plain,gray,black,-0.5953860147871247,-0.40206740417557185
fe_067_cat_stone_1_black_kitten,ours_sd3_texture,gray,black,-0.47873387751503516,-0.3760119342830528
fe_084_cupcake_2_red_velvet,ours_flux_plain,brown,red,2.583640932380449,2.9960919589238983
fe_084_cupcake_2_red_velvet,ours_flux_texture,brown,red,15.7518691234511,17.078187542594307
fe_084_cupcake_2_red_velvet,ours_sd3_plain,brown,red,28.782645116777616,22.650107855769114
fe_084_cupcake_2_red_velvet,ours_sd3_texture,brown,red,31.999211474908066,25.704069182993123
fe_114_flowers_1_orange_yellow_white,ours_flux_plain,white,orange,2.3725244865302515,2.2951862597464583
fe_114_flowers_1_orange_yellow_white,ours_flux_texture,white,orange,14.248061785009828,14.312388695827337
fe_114_flowers_1_orange_yellow_white,ours_sd3_plain,white,orange,13.090819388401766,12.205196354521654
fe_114_flowers_1_orange_yellow_white,ours_sd3_texture,white,orange,16.150891330755844,14.990303458127137
fe_115_flowers_2_blue_purple_white,ours_flux_plain,white,blue,4.419719055532371,4.236560829389333
fe_115_flowers_2_blue_purple_white,ours_flux_texture,white,blue,19.36852648751104,19.449573545578723
fe_115_flowers_2_blue_purple_white,ours_sd3_plain,white,blue,6.586359671966668,8.218699660406287
fe_115_flowers_2_blue_purple_white,ours_sd3_texture,white,blue,7.280134033238895,9.145068299267479
fe_128_gray_bird_2_red_bird,ours_flux_plain,gray,red,0.7759717420857478,1.1377280682232396
fe_128_gray_bird_2_red_bird,ours_flux_texture,gray,red,9.846598264516405,10.06664843070709
fe_128_gray_bird_2_red_bird,ours_sd3_plain,gray,red,1.8175356566571124,2.161022117782707
fe_128_gray_bird_2_red_bird,ours_sd3_texture,gray,red,2.4425625702986857,2.7605418528083305
fe_140_horse_4_brown_horse,ours_flux_plain,white,brown,1.9855305214734293,2.0737760400126177
fe_140_horse_4_brown_horse,ours_flux_texture,white,brown,1.9855305214734293,2.0737760400126177
fe_140_horse_4_brown_horse,ours_sd3_plain,white,brown,2.6687048122824737,2.7268134617529256
fe_140_horse_4_brown_horse,ours_sd3_texture,white,brown,2.631897935345858,3.3000358610941163
fe_141_iguana_1_green_lizard,ours_flux_plain,orange,green,6.605445136903821,5.688400624659025
fe_141_iguana_1_green_lizard,ours_flux_texture,orange,green,13.950838608978017,14.419797919038878
fe_141_iguana_1_green_lizard,ours_sd3_plain,orange,green,10.497866591706527,8.519063854288802
fe_141_iguana_1_green_lizard,ours_sd3_texture,orange,green,12.343770962057294,9.676685647669686
fe_199_piece_of_cake_2_red_velvet_cake,ours_flux_plain,brown,red,-0.9372279362670403,-1.0733660072124422
fe_199_piece_of_cake_2_red_velvet_cake,ours_flux_texture,brown,red,15.309676797783844,15.46495510516634
fe_199_piece_of_cake_2_red_velvet_cake,ours_sd3_plain,brown,red,1.8650588166316906,1.9892682688520722
fe_199_piece_of_cake_2_red_velvet_cake,ours_sd3_texture,brown,red,3.574687991935391,3.4964308409840896
