avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,bg_dilate_px,bg_dino_source,bg_l1,bg_lpips,bg_lpips_x100,bg_mask_area,bg_psnr,bg_ssim,bg_ssim_luma,clip_direction_similarity,clip_image_source_similarity,clip_source_score,clip_t,clip_target_minus_source,clip_target_score,complete,dilated_edit_mask_area,dino_source_similarity,edit_score,eval_mask_area,failure_flag,failure_note,family,family_label,fill_texture_ratio,final_mask_area,fixed_eval_mask_area,flowedit_idx,inside_blue_ratio,inside_l1,inside_mask_l1,inside_mask_psnr,inside_mask_rmse,inside_texture_energy,local_clip_prompt,local_clip_source_score,local_clip_t,local_clip_t_full_prompt,local_clip_target_minus_source,local_clip_target_score,local_crop_box,lpips_full,lpips_outside,mask_path,mask_source,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,method_display,missing,outside_l1,outside_mask_l1,outside_mask_psnr,outside_mask_rmse,peak_gpu_memory_gb,result_image,ring_texture_energy,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_psnr,source_rmse,source_ssim,source_ssim_luma,target_prompt,task
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9995582103729248,0.02969268709421158,0.0154943922534585,1.54943922534585,0.37699127197265625,27.165634539478624,0.8882141709327698,0.8882141709327698,0.19895796477794647,0.9762006998062134,0.26955974102020264,0.26628613471984863,-0.003273606300354004,0.26628613471984863,True,0.6230087280273438,0.783249020576477,-0.003273606300354004,0.5634307861328125,,,F4,T4_local_recolor,0.8307924520650444,0.0,0.5634307861328125,0,0.17773188896411646,0.05820925161242485,0.05820925161242485,21.41538322955001,0.084963195595385,15.161253929138184,a black bear,0.26955974102020264,0.2247052788734436,0.26628613471984863,-0.003273606300354004,0.26628613471984863,"0,0,512,512",0.1210203766822815,0.01922871358692646,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_000_bear_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_flux_plain,ours_flux_plain,,0.030936332419514656,0.030936332419514656,26.82782202813527,0.045562641938306336,,/cluster/users/grad/2025/25t8103/project/outputs/t4_operator_ablation_seed10/fe_000_bear_1_black_bear/ours_flux_plain/seed_10/result.png,18.249147415161133,fe_000_bear_1_black_bear/ours_flux_plain/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear.png,0.04630272462964058,"A large brown bear walking through a stream of water. The stream appears to be shallow, as the bear is able to walk through it without any difficulty.",23.033325072094616,0.07052348192618617,0.7958849967074262,0.7958849967074262,"A large black bear walking through a stream of water. The stream appears to be shallow, as the black bear is able to walk through it without any difficulty.",fe_000_bear_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9995757341384888,0.029812758788466454,0.015417813323438168,1.5417813323438168,0.37699127197265625,27.128175610869995,0.8870981931686401,0.8870981931686401,0.16304746270179749,0.9882473945617676,0.25854015350341797,0.24545599520206451,-0.013084158301353455,0.24545599520206451,True,0.6230087280273438,0.9075325131416321,-0.013084158301353455,0.5634307861328125,,,F4,T4_local_recolor,0.8770589331671564,0.0,0.5634307861328125,0,0.10483412322274882,0.048351358622312546,0.048351358622312546,23.310490113936645,0.06830861727625294,15.994016647338867,a black bear,0.25854015350341797,0.2107587456703186,0.24545599520206451,-0.013084158301353455,0.24545599520206451,"0,0,512,512",0.08327247202396393,0.019086219370365143,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_000_bear_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_flux_texture,ours_flux_texture,,0.03106384165585041,0.03106384165585041,26.788616097871728,0.04576876513618152,,/cluster/users/grad/2025/25t8103/project/outputs/t4_operator_ablation_seed10/fe_000_bear_1_black_bear/ours_flux_texture/seed_10/result.png,18.235965728759766,fe_000_bear_1_black_bear/ours_flux_texture/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear.png,0.04080416262149811,"A large brown bear walking through a stream of water. The stream appears to be shallow, as the bear is able to walk through it without any difficulty.",24.50564840965082,0.05952749120304888,0.8302602978271716,0.8302602978271716,"A large black bear walking through a stream of water. The stream appears to be shallow, as the black bear is able to walk through it without any difficulty.",fe_000_bear_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9993497729301453,0.03882136195898056,0.030320290476083755,3.0320290476083755,0.37699127197265625,24.94350359513769,0.8002848029136658,0.8002848029136658,0.15267547965049744,0.9884960651397705,0.26613956689834595,0.25177568197250366,-0.014363884925842285,0.25177568197250366,True,0.6230087280273438,0.9147592782974243,-0.014363884925842285,0.5634307861328125,,,F4,T4_local_recolor,0.8462434174410931,0.0,0.5634307861328125,0,0.0014421123899796885,0.05226338654756546,0.05226338654756546,22.499541499088544,0.07499337949440331,15.274785041809082,a black bear,0.26613956689834595,0.2134859561920166,0.25177568197250366,-0.014363884925842285,0.25177568197250366,"0,0,512,512",0.11930792033672333,0.036899633705616,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_000_bear_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_sd3_plain,ours_sd3_plain,,0.04009251669049263,0.04009251669049263,24.670814770425334,0.05840624171836615,,/cluster/users/grad/2025/25t8103/project/outputs/t4_operator_ablation_seed10/fe_000_bear_1_black_bear/ours_sd3_plain/seed_10/result.png,18.050107955932617,fe_000_bear_1_black_bear/ours_sd3_plain/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear.png,0.04694996401667595,"A large brown bear walking through a stream of water. The stream appears to be shallow, as the bear is able to walk through it without any difficulty.",23.318003348580127,0.06824955634066372,0.7478413698101228,0.7478413698101228,"A large black bear walking through a stream of water. The stream appears to be shallow, as the black bear is able to walk through it without any difficulty.",fe_000_bear_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9993618130683899,0.0390278585255146,0.030443018302321434,3.0443018302321434,0.37699127197265625,24.93646008574142,0.7999146580696106,0.7999146580696106,0.10042297840118408,0.9766786098480225,0.2811564803123474,0.2658332884311676,-0.01532319188117981,0.2658332884311676,True,0.6230087280273438,0.896173894405365,-0.01532319188117981,0.5634307861328125,,,F4,T4_local_recolor,0.9316405821366107,0.0,0.5634307861328125,0,0.001990521327014218,0.06286059319972992,0.06286059319972992,20.689684119878386,0.09236677788746296,16.76070785522461,a black bear,0.2811564803123474,0.21832449734210968,0.2658332884311676,-0.01532319188117981,0.2658332884311676,"0,0,512,512",0.15787118673324585,0.037049394100904465,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_000_bear_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_sd3_texture,ours_sd3_texture,,0.04027598351240158,0.04027598351240158,24.668382445149142,0.058422599613397255,,/cluster/users/grad/2025/25t8103/project/outputs/t4_operator_ablation_seed10/fe_000_bear_1_black_bear/ours_sd3_texture/seed_10/result.png,17.990530014038086,fe_000_bear_1_black_bear/ours_sd3_texture/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear.png,0.05300084128975868,"A large brown bear walking through a stream of water. The stream appears to be shallow, as the bear is able to walk through it without any difficulty.",22.008610888978946,0.07935411555370865,0.7738831402033597,0.7738831402033597,"A large black bear walking through a stream of water. The stream appears to be shallow, as the black bear is able to walk through it without any difficulty.",fe_000_bear_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.999651312828064,0.04572417959570885,0.04717780277132988,4.717780277132988,0.702667236328125,24.063844937270925,0.7854713201522827,0.7854713201522827,0.31743985414505005,0.9010710120201111,0.24111098051071167,0.27919256687164307,0.038081586360931396,0.27919256687164307,True,0.297332763671875,0.5622298717498779,0.038081586360931396,0.23633575439453125,,,F4,T4_local_recolor,0.7968111949238779,0.0,0.23633575439453125,4,6.456403137811925e-05,0.089433953166008,0.089433953166008,17.081236705409133,0.13993880621550492,15.348978996276855,a black bear,0.2357548028230667,0.2701250910758972,0.28275710344314575,0.04700230062007904,0.28275710344314575,"39,75,512,494",0.12565109133720398,0.052007660269737244,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_004_bear_grass_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_flux_plain,ours_flux_plain,,0.04626481980085373,0.04626481980085373,23.99982189714146,0.06309702822981347,,/cluster/users/grad/2025/25t8103/project/outputs/t4_operator_ablation_seed10/fe_004_bear_grass_1_black_bear/ours_flux_plain/seed_10/result.png,19.26300621032715,fe_004_bear_grass_1_black_bear/ours_flux_plain/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear_grass.png,0.05646723508834839,A large brown bear walking through a grassy field.,21.152919609346373,0.08756973178741426,0.7499363147460281,0.7499363147460281,A large black bear walking through a grassy field.,fe_004_bear_grass_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.999657392501831,0.04566124454140663,0.04720732942223549,4.720732942223549,0.702667236328125,24.077604078694144,0.7852092385292053,0.7852092385292053,0.22542905807495117,0.9153521060943604,0.24619817733764648,0.2587042450904846,0.012506067752838135,0.2587042450904846,True,0.297332763671875,0.7438188791275024,0.012506067752838135,0.23633575439453125,,,F4,T4_local_recolor,0.8745531308404665,0.0,0.23633575439453125,4,0.04751912709429577,0.06881546229124069,0.06881546229124069,19.756590741625935,0.10284198792483032,16.778514862060547,a black bear,0.24058178067207336,0.23027382791042328,0.2440047413110733,0.003422960638999939,0.2440047413110733,"39,75,512,494",0.095413438975811,0.05206705257296562,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_004_bear_grass_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_flux_texture,ours_flux_texture,,0.04620065540075302,0.04620065540075302,24.013363070747758,0.06299873753188151,,/cluster/users/grad/2025/25t8103/project/outputs/t4_operator_ablation_seed10/fe_004_bear_grass_1_black_bear/ours_flux_texture/seed_10/result.png,19.185243606567383,fe_004_bear_grass_1_black_bear/ours_flux_texture/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear_grass.png,0.05154535546898842,A large brown bear walking through a grassy field.,22.572387230778187,0.07436706443032653,0.7697333255516533,0.7697333255516533,A large black bear walking through a grassy field.,fe_004_bear_grass_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9982116222381592,0.05598960816860199,0.09639761596918106,9.639761596918106,0.702667236328125,22.452247656868465,0.6604755520820618,0.6604755520820618,0.13884329795837402,0.9584730267524719,0.2550992965698242,0.23984269797801971,-0.015256598591804504,0.23984269797801971,True,0.297332763671875,0.8858928680419922,-0.015256598591804504,0.23633575439453125,,,F4,T4_local_recolor,0.7785517557035359,0.0,0.23633575439453125,4,0.000258256125512477,0.07659927755594254,0.07659927755594254,19.375984379330454,0.10744860489942752,14.48952579498291,a black bear,0.2650755047798157,0.22613441944122314,0.2369360327720642,-0.028139472007751465,0.2369360327720642,"39,75,512,494",0.15349560976028442,0.10699717700481415,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_004_bear_grass_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_sd3_plain,ours_sd3_plain,,0.05662292614579201,0.05662292614579201,22.385763419844658,0.07598219387297833,,/cluster/users/grad/2025/25t8103/project/outputs/t4_operator_ablation_seed10/fe_004_bear_grass_1_black_bear/ours_sd3_plain/seed_10/result.png,18.610870361328125,fe_004_bear_grass_1_black_bear/ours_sd3_plain/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear_grass.png,0.06134405359625816,A large brown bear walking through a grassy field.,21.464597874965662,0.08448315152805755,0.6589214096704223,0.6589214096704223,A large black bear walking through a grassy field.,fe_004_bear_grass_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9982077479362488,0.05604817718267441,0.09664000570774078,9.664000570774078,0.702667236328125,22.457767299453394,0.6603254079818726,0.6603254079818726,0.13334830105304718,0.8499977588653564,0.24295839667320251,0.24463984370231628,0.0016814470291137695,0.24463984370231628,True,0.297332763671875,0.8154180645942688,0.0016814470291137695,0.23633575439453125,,,F4,T4_local_recolor,0.7940854729111418,0.0,0.23633575439453125,4,9.684604706717888e-05,0.09777452051639557,0.09777452051639557,17.166723767698613,0.13856827532958071,14.788471221923828,a black bear,0.2494727075099945,0.2397085428237915,0.24329052865505219,-0.006182178854942322,0.24329052865505219,"39,75,512,494",0.1832672506570816,0.10729473829269409,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_004_bear_grass_1_black_bear_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_sd3_texture,ours_sd3_texture,,0.05667118728160858,0.05667118728160858,22.39153201225905,0.0759317482871667,,/cluster/users/grad/2025/25t8103/project/outputs/t4_operator_ablation_seed10/fe_004_bear_grass_1_black_bear/ours_sd3_texture/seed_10/result.png,18.623273849487305,fe_004_bear_grass_1_black_bear/ours_sd3_texture/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bear_grass.png,0.06638538092374802,A large brown bear walking through a grassy field.,20.486173725128275,0.09455648373131095,0.6658092888183812,0.6658092888183812,A large black bear walking through a grassy field.,fe_004_bear_grass_1_black_bear
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9994614124298096,0.014168521389365196,0.013498906046152115,1.3498906046152115,0.8351860046386719,33.889814979697775,0.9378915429115295,0.9378915429115295,0.05806926637887955,0.9955259561538696,0.2404184341430664,0.238099604845047,-0.002318829298019409,0.238099604845047,True,0.16481399536132812,0.9907728433609009,-0.002318829298019409,0.11949539184570312,,,F4,T4_local_recolor,1.7058741234997854,0.0,0.11949539184570312,15,0.04156424581005587,0.03714204579591751,0.03714204579591751,23.297876582684914,0.06840788618582061,11.739081382751465,a green bicycle,0.24715442955493927,0.21108421683311462,0.25026634335517883,0.003111913800239563,0.25026634335517883,"143,263,512,512",0.022884083911776543,0.014016351662576199,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_015_bikes_5_green_bicycle_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_flux_plain,ours_flux_plain,,0.014160429127514362,0.014160429127514362,33.89260141861635,0.02020086326767253,,/cluster/users/grad/2025/25t8103/project/outputs/t4_operator_ablation_seed10/fe_015_bikes_5_green_bicycle/ours_flux_plain/seed_10/result.png,6.881563663482666,fe_015_bikes_5_green_bicycle/ours_flux_plain/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bikes.png,0.016906628385186195,"A bicycle parked on the sidewalk in front of a red brick building. The bicycle is positioned close to the door of the building, making it easily accessible for the owner. The building has a red brick exterior, giving it a distinctive appearance.",30.369175049161843,0.03030688126679849,0.9290431608027994,0.9290431608027994,"A green bicycle parked on the sidewalk in front of a red brick building. The bicycle is positioned close to the door of the building, making it easily accessible for the owner. The building has a red brick exterior, giving it a distinctive appearance.",fe_015_bikes_5_green_bicycle
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.9994503855705261,0.014144381508231163,0.013505144976079464,1.3505144976079464,0.8351860046386719,33.88566449232291,0.9376996159553528,0.9376996159553528,0.21671150624752045,0.9922962784767151,0.244935542345047,0.24917109310626984,0.004235550761222839,0.24917109310626984,True,0.16481399536132812,0.9879897832870483,0.004235550761222839,0.11949539184570312,,,F4,T4_local_recolor,1.7383837521381191,0.0,0.11949539184570312,15,0.03441340782122905,0.06190407648682594,0.06190407648682594,19.43879346506232,0.10667442896875401,12.009161949157715,a green bicycle,0.22914768755435944,0.24322038888931274,0.2480241060256958,0.018876418471336365,0.2480241060256958,"143,263,512,512",0.03233086317777634,0.014008225873112679,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/eval_masks/fe_015_bikes_5_green_bicycle_eval_mask.png,fixed_eval_mask,0.0,0.0,0.0,0.0,ours_flux_texture,ours_flux_texture,,0.014129184186458588,0.014129184186458588,33.89248743649789,0.020201128358802372,,/cluster/users/grad/2025/25t8103/project/outputs/t4_operator_ablation_seed10/fe_015_bikes_5_green_bicycle/ours_flux_texture/seed_10/result.png,6.908234119415283,fe_015_bikes_5_green_bicycle/ours_flux_texture/seed_10,,10,/cluster/users/grad/2025/25t8103/project/_baselines/src/FlowEdit/Data/Images/bikes.png,0.019838061183691025,"A bicycle parked on the sidewalk in front of a red brick building. The bicycle is positioned close to the door of the building, making it easily accessible for the owner. The building has a red brick exterior, giving it a distinctive appearance.",27.64696023314965,0.041462166217292644,0.928898946567718,0.928898946567718,"A green bicycle parked on the sidewalk in front of a red brick building. The bicycle is positioned close to the door of the building, making it easily accessible for the owner. The building has a red brick exterior, giving it a distinctive appearance.",fe_015_bikes_5_green_bicycle
