task,method,source_color,target_color,toward_target,de_improve
fe_000_bear_1_black_bear,ours_flux,brown,black,3.4732442563284334,1.303042364284412
fe_000_bear_1_black_bear,ours_sd3,brown,black,5.98535215573999,4.427856915378619
fe_004_bear_grass_1_black_bear,ours_flux,brown,black,5.502509508244748,4.051436880298851
fe_004_bear_grass_1_black_bear,ours_sd3,brown,black,11.123342883132219,12.733468352201264
fe_015_bikes_5_green_bicycle,ours_flux,red,green,17.48990897578953,16.401888092487894
fe_015_bikes_5_green_bicycle,ours_sd3,red,green,40.35889279023797,33.705032276824554
fe_016_bikes_6_yellow_bicycle,ours_flux,red,yellow,7.653166652287798,7.818528266183293
fe_016_bikes_6_yellow_bicycle,ours_sd3,red,yellow,23.507156438404913,21.794399269656466
fe_019_brown_owl_1_white_owl,ours_flux,brown,white,3.3706102823548707,3.566150585364653
fe_019_brown_owl_1_white_owl,ours_sd3,brown,white,1.2987838392564741,1.1805211958068185
fe_025_bus_3_pink_van,ours_flux,yellow,pink,8.126361229541958,6.5368430402242765
fe_025_bus_3_pink_van,ours_sd3,yellow,pink,13.641342663275761,14.503562237775988
fe_027_butterflies_1_yellow,ours_flux,black,yellow,10.276015797530194,11.805527297853928
fe_027_butterflies_1_yellow,ours_sd3,black,yellow,15.469173373200585,18.373973591629948
fe_028_butterfly_1_orange_butterfly,ours_flux,black,orange,9.788522599671856,10.473052471954688
fe_028_butterfly_1_orange_butterfly,ours_sd3,black,orange,5.497194032100565,6.319761989237463
fe_029_butterfly_2_red_flower,ours_flux,black,red,13.335673122020523,16.904494901240795
fe_029_butterfly_2_red_flower,ours_sd3,black,red,20.393465589170606,22.72645924744357
fe_067_cat_stone_1_black_kitten,ours_flux,gray,black,0.9300037490781158,1.0546416919538864
fe_067_cat_stone_1_black_kitten,ours_sd3,gray,black,-0.47873387751503516,-0.3760119342830528
fe_084_cupcake_2_red_velvet,ours_flux,brown,red,15.7518691234511,17.078187542594307
fe_084_cupcake_2_red_velvet,ours_sd3,brown,red,31.999211474908066,25.704069182993123
fe_108_duck_1_colorful_duck,ours_flux,black,black,0.0,0.603771682438655
fe_108_duck_1_colorful_duck,ours_sd3,black,black,0.0,3.413935574031349
fe_114_flowers_1_orange_yellow_white,ours_flux,white,orange,14.248061785009828,14.312388695827337
fe_114_flowers_1_orange_yellow_white,ours_sd3,white,orange,16.150891330755844,14.990303458127137
fe_115_flowers_2_blue_purple_white,ours_flux,white,blue,19.36852648751104,19.449573545578723
fe_115_flowers_2_blue_purple_white,ours_sd3,white,blue,7.280134033238895,9.145068299267479
fe_128_gray_bird_2_red_bird,ours_flux,gray,red,9.846598264516405,10.06664843070709
fe_128_gray_bird_2_red_bird,ours_sd3,gray,red,2.4425625702986857,2.7605418528083305
fe_140_horse_4_brown_horse,ours_flux,white,brown,1.9855305214734293,2.0737760400126177
fe_140_horse_4_brown_horse,ours_sd3,white,brown,2.631897935345858,3.3000358610941163
fe_141_iguana_1_green_lizard,ours_flux,orange,green,13.950838608978017,14.419797919038878
fe_141_iguana_1_green_lizard,ours_sd3,orange,green,12.343770962057294,9.676685647669686
fe_199_piece_of_cake_2_red_velvet_cake,ours_flux,brown,red,15.309676797783844,15.46495510516634
fe_199_piece_of_cake_2_red_velvet_cake,ours_sd3,brown,red,3.574687991935391,3.4964308409840896
