task,method,source_color,target_color,toward_target,de_improve
fe_000_bear_1_black_bear,ours_flux,brown,black,3.4732442563284343,1.303042364284405
fe_000_bear_1_black_bear,ours_sd3,brown,black,5.98535215573999,4.427856915378619
fe_004_bear_grass_1_black_bear,ours_flux,brown,black,5.502509508244749,4.0514368802988585
fe_004_bear_grass_1_black_bear,ours_sd3,brown,black,11.12334288313222,12.733468352201278
fe_015_bikes_5_green_bicycle,ours_flux,red,green,17.489908975789525,16.401888092487866
fe_015_bikes_5_green_bicycle,ours_sd3,red,green,40.35889279023796,33.70503227682454
fe_016_bikes_6_yellow_bicycle,ours_flux,red,yellow,7.653166652287796,7.818528266183307
fe_016_bikes_6_yellow_bicycle,ours_sd3,red,yellow,23.507156438404895,21.794399269656452
fe_019_brown_owl_1_white_owl,ours_flux,brown,white,3.3706102823548707,3.566150585364653
fe_019_brown_owl_1_white_owl,ours_sd3,brown,white,1.2987838392564743,1.1805211958068327
fe_025_bus_3_pink_van,ours_flux,yellow,pink,8.126361229541958,6.5368430402242765
fe_025_bus_3_pink_van,ours_sd3,yellow,pink,13.641342663275763,14.503562237775988
fe_027_butterflies_1_yellow,ours_flux,black,yellow,10.276015797530189,11.805527297853942
fe_027_butterflies_1_yellow,ours_sd3,black,yellow,15.469173373200578,18.373973591629976
fe_028_butterfly_1_orange_butterfly,ours_flux,black,orange,9.788522599671854,10.473052471954674
fe_028_butterfly_1_orange_butterfly,ours_sd3,black,orange,5.497194032100567,6.319761989237449
fe_067_cat_stone_1_black_kitten,ours_flux,gray,black,0.9300037490781162,1.054641691953897
fe_067_cat_stone_1_black_kitten,ours_sd3,gray,black,-0.47873387751503443,-0.3760119342830528
fe_084_cupcake_2_red_velvet,ours_flux,brown,red,15.751869123451097,17.078187542594307
fe_084_cupcake_2_red_velvet,ours_sd3,brown,red,31.99921147490806,25.70406918299311
fe_114_flowers_1_orange_yellow_white,ours_flux,white,orange,14.248061785009824,14.31238869582733
fe_114_flowers_1_orange_yellow_white,ours_sd3,white,orange,16.150891330755847,14.990303458127123
fe_115_flowers_2_blue_purple_white,ours_flux,white,blue,19.368526487511044,19.44957354557873
fe_115_flowers_2_blue_purple_white,ours_sd3,white,blue,7.280134033238897,9.145068299267521
fe_128_gray_bird_2_red_bird,ours_flux,gray,red,9.846598264516402,10.06664843070709
fe_128_gray_bird_2_red_bird,ours_sd3,gray,red,2.4425625702986817,2.7605418528083305
fe_140_horse_4_brown_horse,ours_flux,white,brown,1.9855305214734305,2.0737760400126177
fe_140_horse_4_brown_horse,ours_sd3,white,brown,2.6318979353458594,3.3000358610941163
fe_141_iguana_1_green_lizard,ours_flux,orange,green,13.95083860897802,14.419797919038857
fe_141_iguana_1_green_lizard,ours_sd3,orange,green,12.343770962057292,9.676685647669665
fe_199_piece_of_cake_2_red_velvet_cake,ours_flux,brown,red,15.309676797783844,15.464955105166332
fe_199_piece_of_cake_2_red_velvet_cake,ours_sd3,brown,red,3.574687991935394,3.496430840984104
