method,display,n,local_clip_t,clip_direction_similarity,clip_target_minus_source,local_clip_target_minus_source,bg_lpips,bg_l1,bg_dino_source,bg_ssim_luma
reflex,ReFLEx,19,0.23811702508675425,0.23103891626784676,0.027539079910830447,0.029179671877308896,0.1373687645322398,0.04339123919214073,0.9806236467863384,0.7052558346798545
flowedit_flux,FlowEdit-FLUX,19,0.23270288580342344,0.20887357427885658,0.024890978085367305,0.025413629255796735,0.14052924053057245,0.057453381093709094,0.9670276924183494,0.8206495674032914
fireflow,FireFlow,19,0.22650539796603353,0.1653105603825105,0.0209928351013284,0.022065870855983934,0.1692978320153136,0.05899984722858981,0.9648666632802863,0.7648433572367618
ours_flux,Ours-FLUX(texture),19,0.21764239982554787,0.2194891004872165,0.008088918108689157,0.010158715279478776,0.012150347033687132,0.014038552726177793,0.9987949666224027,0.9372310889394659
rf_solver_edit,RF-Solver-Edit,19,0.21139484957644814,0.12375558138285812,0.00617305620720512,0.00554578163121876,0.12150330694490358,0.03779351799503753,0.9750172119391592,0.8169957148401361
flowedit_sd3,FlowEdit-SD3,19,0.2318855594647558,0.23070599687726875,0.026203507655545286,0.027784104409970735,0.10262076880194639,0.04350823350250721,0.9726632707997372,0.8413372886808295
splitflow_sd3,SplitFlow-SD3,19,0.2316103036466398,0.23347186885381999,0.025500950844664323,0.026924411717214082,0.10386428011483267,0.04399987565059411,0.970345675945282,0.8398840176431757
ours_sd3,Ours-SD3(texture),19,0.21976673995193682,0.18255430852112017,0.010550520137736672,0.013683165374555085,0.023837218146869225,0.01745875010659036,0.9977891664755972,0.8981822603627255
otrf_enh_sd3,OT-RF enhanced-SD3,19,0.2112709221087004,0.19527128809376768,0.003911568930274562,0.005724033242777774,0.03948275061128171,0.02441460178478768,0.9921489953994751,0.8983663602879173
drfs_sd3,DRFS-SD3,19,0.2016057301508753,0.10835963369984376,0.006305285974552757,0.007939112029577556,0.321921255243452,0.12113566657430247,0.9123988716225875,0.5190250889251107
instruct_pix2pix,InstructPix2Pix,19,0.24708004609534615,0.2911877687040128,0.03469863612400858,0.034129088646487185,0.20952571612341622,0.11920719427105628,0.9761743765128287,0.7380845578093278
ledits_pp,LEDITS++,19,0.24674736590761887,0.1909581099293734,0.03142711284913515,0.030944231309388812,0.15133575244659656,0.06390323715382501,0.9317560603744105,0.7263070705689882
