method,display,n,S_color,dE_improve
reflex,ReFLEx,16,9.764038507863928,6.388646429363095
flowedit_flux,FlowEdit-FLUX,16,6.154690608112366,4.087648773049825
fireflow,FireFlow,16,4.354002075389822,4.3546841655808635
ours_flux,Ours-FLUX(texture),16,9.816965289971947,9.7422773730957
rf_solver_edit,RF-Solver-Edit,16,2.286964076457805,1.8354005548369223
flowedit_sd3,FlowEdit-SD3,16,4.005853897428839,3.670834253941938
splitflow_sd3,SplitFlow-SD3,16,4.246168603950538,4.019167106491259
ours_sd3,Ours-SD3(texture),16,12.051603787273343,11.358481189823252
otrf_enh_sd3,OT-RF enhanced-SD3,16,1.8468153765150945,2.2842241760113096
drfs_sd3,DRFS-SD3,16,1.6430675440038807,1.0709014410893707
instruct_pix2pix,InstructPix2Pix,16,27.386367481252076,26.764449682478276
ledits_pp,LEDITS++,16,7.840413888152311,7.327052779093951
