task,method,display,source_color,target_color,S_color,dE_improve
fe_000_bear_1_black_bear,reflex,ReFLEx,brown,black,7.669587523037809,1.3755531344826437
fe_000_bear_1_black_bear,flowedit_flux,FlowEdit-FLUX,brown,black,4.706643629278386,-3.4606860766556835
fe_000_bear_1_black_bear,fireflow,FireFlow,brown,black,4.8606617248503685,0.5669185981265876
fe_000_bear_1_black_bear,ours_flux,Ours-FLUX(texture),brown,black,3.4732442563284334,1.303042364284412
fe_000_bear_1_black_bear,rf_solver_edit,RF-Solver-Edit,brown,black,2.9087442125676706,0.6893516526478898
fe_000_bear_1_black_bear,flowedit_sd3,FlowEdit-SD3,brown,black,-1.3712564435613017,-4.11085934837952
fe_000_bear_1_black_bear,splitflow_sd3,SplitFlow-SD3,brown,black,-1.781522030169445,-4.307631420286015
fe_000_bear_1_black_bear,ours_sd3,Ours-SD3(texture),brown,black,5.98535215573999,4.427856915378619
fe_000_bear_1_black_bear,otrf_enh_sd3,OT-RF enhanced-SD3,brown,black,-0.3730007833123465,-0.9976569548730225
fe_000_bear_1_black_bear,drfs_sd3,DRFS-SD3,brown,black,0.1694383597653439,-0.9078928563355291
fe_000_bear_1_black_bear,instruct_pix2pix,InstructPix2Pix,brown,black,9.83306658282854,5.469143548019353
fe_000_bear_1_black_bear,ledits_pp,LEDITS++,brown,black,9.062391805970464,4.974433478804961
fe_004_bear_grass_1_black_bear,reflex,ReFLEx,brown,black,9.655945559423774,5.2668915640511145
fe_004_bear_grass_1_black_bear,flowedit_flux,FlowEdit-FLUX,brown,black,10.621977767880402,9.191907509348397
fe_004_bear_grass_1_black_bear,fireflow,FireFlow,brown,black,5.133195796744689,5.478612496305601
fe_004_bear_grass_1_black_bear,ours_flux,Ours-FLUX(texture),brown,black,5.502509508244748,4.051436880298851
fe_004_bear_grass_1_black_bear,rf_solver_edit,RF-Solver-Edit,brown,black,2.5619255011831457,2.4780040617273684
fe_004_bear_grass_1_black_bear,flowedit_sd3,FlowEdit-SD3,brown,black,1.0716236237244026,-1.2065815361602574
fe_004_bear_grass_1_black_bear,splitflow_sd3,SplitFlow-SD3,brown,black,3.3518149374060737,1.2114505094500814
fe_004_bear_grass_1_black_bear,ours_sd3,Ours-SD3(texture),brown,black,11.123342883132219,12.733468352201264
fe_004_bear_grass_1_black_bear,otrf_enh_sd3,OT-RF enhanced-SD3,brown,black,0.6763483652592306,0.6249543606670329
fe_004_bear_grass_1_black_bear,drfs_sd3,DRFS-SD3,brown,black,-5.148244648647074,-9.21830786701291
fe_004_bear_grass_1_black_bear,instruct_pix2pix,InstructPix2Pix,brown,black,16.89675390545731,13.917926787271846
fe_004_bear_grass_1_black_bear,ledits_pp,LEDITS++,brown,black,15.80303106699184,6.6203075340526425
fe_015_bikes_5_green_bicycle,reflex,ReFLEx,red,green,8.781537940650496,4.337381340343825
fe_015_bikes_5_green_bicycle,flowedit_flux,FlowEdit-FLUX,red,green,10.196593064881643,6.662688757615513
fe_015_bikes_5_green_bicycle,fireflow,FireFlow,red,green,6.836601021248831,5.196565123302818
fe_015_bikes_5_green_bicycle,ours_flux,Ours-FLUX(texture),red,green,17.48990897578953,16.401888092487894
fe_015_bikes_5_green_bicycle,rf_solver_edit,RF-Solver-Edit,red,green,2.374099779243725,2.249934639720621
fe_015_bikes_5_green_bicycle,flowedit_sd3,FlowEdit-SD3,red,green,6.446694249035417,5.637765342478204
fe_015_bikes_5_green_bicycle,splitflow_sd3,SplitFlow-SD3,red,green,7.627593817186104,6.909343448187315
fe_015_bikes_5_green_bicycle,ours_sd3,Ours-SD3(texture),red,green,40.35889279023797,33.705032276824554
fe_015_bikes_5_green_bicycle,otrf_enh_sd3,OT-RF enhanced-SD3,red,green,3.1684264294715647,3.388923935796754
fe_015_bikes_5_green_bicycle,drfs_sd3,DRFS-SD3,red,green,11.420642369766409,10.195027338057514
fe_015_bikes_5_green_bicycle,instruct_pix2pix,InstructPix2Pix,red,green,52.89845822498235,51.017875815379725
fe_015_bikes_5_green_bicycle,ledits_pp,LEDITS++,red,green,-12.873202405978434,-8.884648134529911
fe_016_bikes_6_yellow_bicycle,reflex,ReFLEx,red,yellow,3.217135084321479,-0.25382849323962375
fe_016_bikes_6_yellow_bicycle,flowedit_flux,FlowEdit-FLUX,red,yellow,4.27322989809395,1.6158194078973764
fe_016_bikes_6_yellow_bicycle,fireflow,FireFlow,red,yellow,3.1752232006358803,1.3428581487231241
fe_016_bikes_6_yellow_bicycle,ours_flux,Ours-FLUX(texture),red,yellow,7.653166652287798,7.818528266183293
fe_016_bikes_6_yellow_bicycle,rf_solver_edit,RF-Solver-Edit,red,yellow,2.1440376899010136,1.2264071193291812
fe_016_bikes_6_yellow_bicycle,flowedit_sd3,FlowEdit-SD3,red,yellow,4.555960178581256,3.096940340585263
fe_016_bikes_6_yellow_bicycle,splitflow_sd3,SplitFlow-SD3,red,yellow,3.8762512414118793,3.270198364504253
fe_016_bikes_6_yellow_bicycle,ours_sd3,Ours-SD3(texture),red,yellow,23.507156438404913,21.794399269656466
fe_016_bikes_6_yellow_bicycle,otrf_enh_sd3,OT-RF enhanced-SD3,red,yellow,1.90974426590795,2.0963640541427537
fe_016_bikes_6_yellow_bicycle,drfs_sd3,DRFS-SD3,red,yellow,11.692335010110245,9.622883278872209
