method,method_display,n,complete_n,fixed_mask_n,local_clip_t_n,clip_t,clip_target_minus_source,clip_direction_similarity,local_clip_t,local_clip_t_full_prompt,local_clip_target_minus_source,clip_image_source_similarity,dino_source_similarity,bg_dino_source,lpips_full,lpips_outside,bg_lpips,source_l1,inside_l1,outside_l1,bg_l1,source_ssim_luma,bg_ssim_luma,eval_mask_area,dilated_edit_mask_area,bg_mask_area
fireflow_g070,fireflow_g070,33,33,33,33,0.3006801532976555,0.04652928086844357,0.24388583786221166,0.2511257009975838,0.2983796840364283,0.05173687772317366,0.8147831414685105,0.7214757050528671,0.9286243626565645,0.28524273453336774,0.1540574072436853,0.13492950519095315,0.06462393249526169,0.08743372051553293,0.05465003910164038,0.05337673781270331,0.7615376879040273,0.8071406971324574,0.38129240093809186,0.4459145285866477,0.5540854714133523
fireflow_g085,fireflow_g085,33,33,33,33,0.3046979204271779,0.04795501358581312,0.25030944993098575,0.25300020972887677,0.3027489989092856,0.05171989220561403,0.8114006302573464,0.7136352504744674,0.9328197132457386,0.2981971071073503,0.16409889739853414,0.14447062768775856,0.06763464319660809,0.08973747424103996,0.05786040747030215,0.05647368616226948,0.7462966037132263,0.7920240227020148,0.38129240093809186,0.4459145285866477,0.5540854714133523
fireflow_g100,fireflow_g100,33,33,33,33,0.306210507497643,0.049396263830589524,0.24197582499773213,0.2530635486949574,0.30371749717177765,0.05249934620929487,0.8086356448404717,0.708817359624487,0.9258964170109142,0.31994660198688507,0.18112552496181292,0.15917717002219323,0.07434283422701286,0.09892641233675407,0.06311680094310732,0.061908215171459946,0.7248819892947628,0.7735836812944124,0.38129240093809186,0.4459145285866477,0.5540854714133523
fireflow_g115,fireflow_g115,33,33,33,33,0.30385966328057373,0.04837249490347775,0.23677026457858807,0.25131102854555304,0.3024233827988307,0.05170577358115803,0.7998395815040126,0.6917413274447123,0.9156281370105166,0.3340116976336999,0.19014164071642992,0.16805199611311158,0.07676788938767982,0.10105640881440857,0.06476929388714558,0.06341085577327193,0.7126196032835833,0.7651406029860178,0.38129240093809186,0.4459145285866477,0.5540854714133523
flowedit_flux_g070,flowedit_flux_g070,33,33,33,33,0.28708917715332727,0.029761075521960403,0.2450004597617821,0.23603754513191455,0.2882701014027451,0.034696211869066414,0.8980744390776663,0.8575372732046879,0.9696516484925242,0.13775753021014459,0.07165300806589199,0.06838441571700528,0.04685260502226425,0.0674400996191032,0.03930678368179184,0.03901536367607839,0.8832580095418474,0.9165405450445233,0.38028517636385833,0.41224806236498285,0.5877519376350172
flowedit_flux_g085,flowedit_flux_g085,33,33,33,33,0.2895488924149311,0.03369594658866073,0.24358631218924667,0.23595271869139237,0.2894593987501029,0.03624102157173735,0.884699902751229,0.8266562313744517,0.9613647244193337,0.16777838653687274,0.09171613644469868,0.08762911262667993,0.055649996819821274,0.0777798578368895,0.0476741555965308,0.047434994047789864,0.8594327924401831,0.8965294126308325,0.38028517636385833,0.41224806236498285,0.5877519376350172
flowedit_flux_g100,flowedit_flux_g100,33,33,33,33,0.2993470818707437,0.04608316629221945,0.2608959690639467,0.24644509544878296,0.2991769806002126,0.0488472246762478,0.8486807382468021,0.7689850637407014,0.9372828367984656,0.2565570550434517,0.14797408359520364,0.1412313889824983,0.07320325708750522,0.0990081142747041,0.06270279520840356,0.0626666270422213,0.7938718411413231,0.8369142828565656,0.38028517636385833,0.41224806236498285,0.5877519376350172
flowedit_flux_g115,flowedit_flux_g115,33,33,33,33,0.2954773275238095,0.04066870790539366,0.24694445379304164,0.24220059992689075,0.2956604113181432,0.045234226367690346,0.8592236601945126,0.794755523855036,0.9390555168643142,0.2171033997878884,0.12542737958331904,0.11995319706020934,0.06837791576981544,0.09363179236198917,0.05960813243732308,0.05946719561788169,0.8223160118700193,0.8622974717255795,0.38028517636385833,0.41224806236498285,0.5877519376350172
flowedit_sd3_g070,flowedit_sd3_g070,33,33,33,33,0.30003621858177765,0.049814969301223755,0.28821957672974374,0.24954458709919092,0.2968238962419105,0.05345317450436679,0.8712421312476649,0.8151565257346991,0.9617215485283823,0.13941665693665994,0.06376214012164962,0.06024631750628804,0.04089698463565472,0.06347979746307388,0.03048493428099336,0.030181732762492065,0.8739190002858452,0.9138354135282112,0.38028517636385833,0.41224806236498285,0.5877519376350172
flowedit_sd3_g085,flowedit_sd3_g085,33,33,33,33,0.3025080290707675,0.052191870230616944,0.28253598943014036,0.2509100297183702,0.30080885643308813,0.056667470119216225,0.8594708731680205,0.789587010939916,0.9575349417599764,0.16903236909120373,0.0812709236122442,0.07678517881272869,0.04762402205078891,0.07280565267710974,0.036070896848810444,0.03567899732540051,0.8537503862448821,0.899487802476594,0.38028517636385833,0.41224806236498285,0.5877519376350172
